marker,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Meta.Cluster_1_i4,(Intercept),0.0072690827663076845,8.416790216983042e-4,8.636407203829837,7.382348267706481e-15,0.005606182633968852,0.008931982898646516
Meta.Cluster_1_i4,cga_term,2.0180483021743092e-4,1.9443978677556364e-4,1.037878273598235,0.3009749594413826,-1.823486758407451e-4,5.859583362756069e-4
Meta.Cluster_1_i4,preterm_weeks,9.536066999066705e-4,1.1323035345435e-4,8.42182922524504,2.587311992468321e-14,7.298981781425349e-4,0.001177315221670806
Meta.Cluster_1_i8,(Intercept),0.012464987140851131,0.0013096661530390447,9.51768289340491,3.889308599496187e-17,0.009877487674826713,0.01505248660687555
Meta.Cluster_1_i8,cga_term,5.88519110622549e-5,3.0255144892438944e-4,0.19451868854530777,0.8460295050880651,-5.388971494293715e-4,6.566009715538813e-4
Meta.Cluster_1_i8,preterm_weeks,2.516993247017149e-4,1.7618825893579788e-4,1.4285817126635711,0.15517617196295422,-9.639474863008465e-5,5.997933980335144e-4
Meta.Cluster_1_t4,(Intercept),0.022885306656113817,0.0033008755293996127,6.933101976213069,9.595261900885512e-11,0.016366402423734074,0.02940421088849356
Meta.Cluster_1_t4,cga_term,6.732195086849085e-4,6.840866303445179e-4,0.9841144071853348,0.3265450675611633,-6.777842447581665e-4,0.0020242232621279837
Meta.Cluster_1_t4,preterm_weeks,-0.001116853270629616,4.565972950642555e-4,-2.44603567016849,0.015526986283580088,-0.002018587980944157,-2.1511856031507476e-4
Meta.Cluster_1_t8,(Intercept),0.01723339668209501,0.0030849576547118014,5.5862668506239075,9.759588165319e-8,0.01114090899726828,0.02332588436692174
Meta.Cluster_1_t8,cga_term,-2.3635416259896906e-5,6.393389474916596e-4,-0.03696852249128032,0.9705561875640782,-0.0012862669010304415,0.0012389960685106477
Meta.Cluster_1_t8,preterm_weeks,0.00233985401251088,4.267302138428048e-4,5.483216178765386,1.5983139201494046e-7,0.0014971038474932523,0.003182604177528508
Meta.Cluster_10_i4,(Intercept),0.0739811260764274,0.003112596926934925,23.76829631753155,4.62467059144876e-53,0.06783158722814561,0.08013066492470919
Meta.Cluster_10_i4,cga_term,3.659033067321809e-4,7.190540184431935e-4,0.5088676196044204,0.6115828727703683,-0.0010547273512772023,0.0017865339647415639
Meta.Cluster_10_i4,preterm_weeks,-0.0017315753507806417,4.18734982234232e-4,-4.135253619225997,5.844985944635691e-5,-0.0025588675125446467,-9.042831890166365e-4
Meta.Cluster_10_i8,(Intercept),0.07415109019374935,0.0029313953820606334,25.295492599713594,2.3915029911786907e-56,0.06835955013738645,0.07994263025011225
Meta.Cluster_10_i8,cga_term,-8.83095138232275e-4,6.77193892622701e-4,-1.3040506535168828,0.19418765870590052,-0.002221022999840528,4.548327233759781e-4
Meta.Cluster_10_i8,preterm_weeks,-0.0011421329613758228,3.943580945565625e-4,-2.896182371152033,0.00433489625343153,-0.0019212638541760215,-3.630020685756241e-4
Meta.Cluster_10_t4,(Intercept),0.08947000221330499,0.006565512545764862,13.627268486604043,1.4630730648515132e-28,0.07650376124446917,0.10243624318214081
Meta.Cluster_10_t4,cga_term,0.0019145958580955784,0.0013606630464899313,1.4071050603120396,0.16133580971103384,-7.725797150528206e-4,0.004601771431243977
Meta.Cluster_10_t4,preterm_weeks,-0.0030689004961049113,9.08181857330419e-4,-3.3791695697664323,9.133282124950058e-4,-0.004862470262911174,-0.0012753307292986478
Meta.Cluster_10_t8,(Intercept),0.08106349810465953,0.0019350129260759558,41.893000823022675,3.746042308105309e-88,0.07724203805833042,0.08488495815098863
Meta.Cluster_10_t8,cga_term,-1.3067440666191413e-4,4.010198083758564e-4,-0.32585524189228915,0.7449596584231839,-9.226490518146126e-4,6.613002384907844e-4
Meta.Cluster_10_t8,preterm_weeks,-5.182660113742202e-4,2.6766282463287945e-4,-1.93626444794888,0.05459772850501804,-0.001046873741295913,1.0341718547472473e-5
Meta.Cluster_11_i4,(Intercept),0.08042483098482228,0.003880556314861441,20.725077658792827,3.870774989913489e-46,0.07275803943700535,0.08809162253263922
Meta.Cluster_11_i4,cga_term,0.001004276124408844,8.964635246697225e-4,1.1202643462586412,0.26436808012979357,-7.66861417788997e-4,0.002775413666606685
Meta.Cluster_11_i4,preterm_weeks,-0.0013928508176074845,5.220478968867191e-4,-2.668051774394417,0.008456848761968167,-0.002424257677515305,-3.6144395769966385e-4
Meta.Cluster_11_i8,(Intercept),0.09068813974184044,0.0039037195598909677,23.23121278321883,7.083888432202863e-52,0.08297558471147018,0.0984006947722107
Meta.Cluster_11_i8,cga_term,-6.996441763631912e-4,9.018145626645671e-4,-0.7758182284126922,0.43906174998299163,-0.0024813537318349554,0.0010820653791085728
Meta.Cluster_11_i8,preterm_weeks,0.001207936503223545,5.251640282791243e-4,2.3001127993890846,0.02280234693962621,1.703731214454749e-4,0.002245499885001615
Meta.Cluster_11_t4,(Intercept),0.04345429980748251,0.0017242517415910197,25.201830312426367,1.3860069245183515e-57,0.04004907235318032,0.0468595272617847
Meta.Cluster_11_t4,cga_term,1.1028005306986223e-4,3.573408185994853e-4,0.308613086806258,0.7580173180595853,-5.954328870342222e-4,8.159929931739467e-4
Meta.Cluster_11_t4,preterm_weeks,7.963539186695379e-4,2.3850904834436126e-4,3.338883468772035,0.0010464760118284965,3.2532202701995394e-4,0.001267385810319122
Meta.Cluster_11_t8,(Intercept),0.01157675974331975,6.81501466950557e-4,16.987138406496847,1.1946799745585771e-37,0.010230861433096265,0.012922658053543236
