"","var_names","voi_names","var_coeffs","var_exp_coeffs","variable_pvals","adj_variable_pvals"
"1",TPHE_IST_Birth,voiTPHE_2,0.1289,1.138,0.3539,0.787794696969697
"2",ICS_IST_Birth,voiICS_4,-0.128,0.8798,0.4007,0.787794696969697
"3",Birth_CD4_C1,voi,0.01707,1.017,0.6712,0.917896571428571
"4",Birth_CD4_C2,voi,0.03647,1.037,0.4488,0.790247482014388
"5",Birth_CD4_C3,voi,0.0841,1.088,0.05834,0.462315625
"6",Birth_CD4_C4,voi,-0.02424,0.9761,0.6312,0.893916568047337
"7",Birth_CD4_C5,voi,0.02687,1.027,0.5174,0.837468918918919
"8",Birth_CD4_C6,voi,-0.03924,0.9615,0.4573,0.790247482014388
"9",Birth_CD4_C7,voi,-0.002093,0.9979,0.9641,0.986947435897436
"10",Birth_CD4_C8,voi,-0.0374,0.9633,0.4715,0.799209219858156
"11",Birth_CD4_C9,voi,0.07498,1.078,0.08847,0.532752727272727
"12",Birth_CD4_C10,voi,0.01625,1.016,0.7631,0.945845595854922
"13",Birth_CD4_C11,voi,0.008568,1.009,0.85,0.956873059360731
"14",Birth_CD4_C12,voi,0.03906,1.04,0.4003,0.787794696969697
"15",Birth_CD4_C13,voi,-0.01058,0.9895,0.8538,0.956873059360731
"16",Birth_CD4_C14,voi,-0.1257,0.8819,0.005553,0.33179175
"17",Birth_CD4_C15,voi,-0.00109,0.9989,0.9812,0.989480168776371
"18",Birth_CD4_C16,voi,0.01674,1.017,0.6903,0.926863483146067
"19",Birth_CD4_C17,voi,0.058,1.06,0.2225,0.759820833333333
"20",Birth_CD4_C18,voi,0.06042,1.062,0.283,0.787794696969697
"21",Birth_CD8_C1,voi,0.07627,1.079,0.05773,0.462315625
"22",Birth_CD8_C2,voi,0.03242,1.033,0.4024,0.787794696969697
"23",Birth_CD8_C3,voi,0.0327,1.033,0.4063,0.787794696969697
"24",Birth_CD8_C4,voi,0.03598,1.037,0.4108,0.787794696969697
"25",Birth_CD8_C5,voi,0.002279,1.002,0.9596,0.986947435897436
"26",Birth_CD8_C6,voi,0.06605,1.068,0.1552,0.653266666666667
"27",Birth_CD8_C7,voi,0.03752,1.038,0.4351,0.787794696969697
"28",Birth_CD8_C8,voi,0.02079,1.021,0.7136,0.93709010989011
"29",Birth_CD8_C9,voi,0.04907,1.05,0.2805,0.787794696969697
"30",Birth_CD8_C10,voi,0.04398,1.045,0.3388,0.787794696969697
"31",Birth_CD8_C11,voi,0.06542,1.068,0.1276,0.59796862745098
"32",Birth_CD8_C12,voi,-0.06892,0.9334,0.1267,0.59796862745098
"33",Discharge_CD4_C1,voi,0.008639,1.009,0.848,0.956873059360731
"34",Discharge_CD4_C2,voi,-0.008156,0.9919,0.8619,0.956873059360731
"35",Discharge_CD4_C3,voi,0.03664,1.037,0.4223,0.787794696969697
"36",Discharge_CD4_C4,voi,0.009239,1.009,0.8472,0.956873059360731
"37",Discharge_CD4_C5,voi,-0.04788,0.9533,0.3986,0.787794696969697
"38",Discharge_CD4_C6,voi,-0.03772,0.963,0.4089,0.787794696969697
"39",Discharge_CD4_C7,voi,0.0318,1.032,0.3893,0.787794696969697
"40",Discharge_CD4_C8,voi,-0.02041,0.9798,0.7116,0.93709010989011
"41",Discharge_CD4_C9,voi,0.05723,1.059,0.1973,0.759820833333333
"42",Discharge_CD4_C10,voi,0.02838,1.029,0.4985,0.824137931034483
"43",Discharge_CD4_C11,voi,-0.01127,0.9888,0.8185,0.956873059360731
"44",Discharge_CD4_C12,voi,0.01322,1.013,0.7638,0.945845595854922
"45",Discharge_CD4_C13,voi,-0.001934,0.9981,0.9663,0.986947435897436
