"","var_names","voi_names","var_coeffs","var_exp_coeffs","variable_pvals","adj_variable_pvals"
"1",TPHE_IST_Birth,voiTPHE_2,-0.2741,0.7602,0.3458,0.849411764705882
"2",TPHE_IST_Disch,voiTPHE_3,0.07349,1.076,0.7911,0.963490909090909
"3",ICS_IST_Disch,voiICS_6,-0.2245,0.7989,0.4368,0.869704918032787
"4",Birth_CD4_C1,voi,0.1735,1.189,0.1435,0.849411764705882
"5",Birth_CD4_C2,voi,-0.08614,0.9175,0.452,0.881951219512195
"6",Birth_CD4_C3,voi,-0.04535,0.9557,0.7194,0.963490909090909
"7",Birth_CD4_C4,voi,0.1429,1.154,0.1957,0.849411764705882
"8",Birth_CD4_C5,voi,-0.2736,0.7607,0.006887,0.7628
"9",Birth_CD4_C6,voi,-0.05164,0.9497,0.6548,0.957714285714286
"10",Birth_CD4_C7,voi,0.1439,1.155,0.2784,0.849411764705882
"11",Birth_CD4_C8,voi,0.1069,1.113,0.3838,0.8505
"12",Birth_CD4_C9,voi,-0.1392,0.87,0.195,0.849411764705882
"13",Birth_CD4_C10,voi,-0.06632,0.9358,0.618,0.957714285714286
"14",Birth_CD4_C11,voi,-0.1338,0.8748,0.2636,0.849411764705882
"15",Birth_CD4_C12,voi,-0.192,0.8253,0.09988,0.808235294117647
"16",Birth_CD4_C13,voi,-0.01163,0.9884,0.9418,0.972669527896996
"17",Birth_CD4_C14,voi,0.2255,1.253,0.03664,0.808235294117647
"18",Birth_CD4_C15,voi,0.01343,1.014,0.9084,0.964672566371682
"19",Birth_CD4_C16,voi,-0.0987,0.906,0.4194,0.869704918032787
"20",Birth_CD4_C17,voi,-0.08995,0.914,0.4419,0.869704918032787
"21",Birth_CD4_C18,voi,-0.2337,0.7916,0.09494,0.808235294117647
"22",Birth_CD8_C1,voi,0.1921,1.212,0.04251,0.808235294117647
"23",Birth_CD8_C2,voi,-0.1861,0.8302,0.0919,0.808235294117647
"24",Birth_CD8_C3,voi,-0.2899,0.7483,0.009535,0.7628
"25",Birth_CD8_C4,voi,-0.09919,0.9056,0.4296,0.869704918032787
"26",Birth_CD8_C5,voi,-0.1191,0.8877,0.3057,0.849411764705882
"27",Birth_CD8_C6,voi,-0.161,0.8513,0.1602,0.849411764705882
"28",Birth_CD8_C7,voi,-0.2061,0.8138,0.08706,0.808235294117647
"29",Birth_CD8_C8,voi,-0.1287,0.8793,0.3024,0.849411764705882
"30",Birth_CD8_C9,voi,-0.1149,0.8914,0.2884,0.849411764705882
"31",Birth_CD8_C10,voi,-0.0808,0.9224,0.4393,0.869704918032787
"32",Birth_CD8_C11,voi,-0.1501,0.8606,0.2146,0.849411764705882
"33",Birth_CD8_C12,voi,0.1634,1.178,0.1054,0.808235294117647
"34",Discharge_CD4_C1,voi,-0.04184,0.959,0.728,0.963490909090909
"35",Discharge_CD4_C2,voi,-0.02069,0.9795,0.8302,0.963490909090909
"36",Discharge_CD4_C3,voi,-0.03563,0.965,0.7403,0.963490909090909
"37",Discharge_CD4_C4,voi,-0.127,0.8807,0.1551,0.849411764705882
"38",Discharge_CD4_C5,voi,-0.2149,0.8066,0.02874,0.808235294117647
"39",Discharge_CD4_C6,voi,-0.05602,0.9455,0.5926,0.957714285714286
"40",Discharge_CD4_C7,voi,0.04838,1.05,0.5885,0.957714285714286
"41",Discharge_CD4_C8,voi,-0.1283,0.8796,0.2058,0.849411764705882
"42",Discharge_CD4_C9,voi,-0.1905,0.8266,0.05896,0.808235294117647
"43",Discharge_CD4_C10,voi,-0.0988,0.9059,0.3691,0.8505
"44",Discharge_CD4_C11,voi,0.04408,1.045,0.6655,0.957714285714286
"45",Discharge_CD4_C12,voi,-0.0603,0.9415,0.5474,0.957714285714286
"46",Discharge_CD4_C13,voi,0.04123,1.042,0.7438,0.963490909090909
"47",Discharge_CD4_C14,voi,0.01833,1.019,0.8602,0.963490909090909
"48",Discharge_CD4_C15,voi,-0.1103,0.8956,0.3207,0.849411764705882
