"","var_names","voi_names","var_coeffs","var_exp_coeffs","variable_pvals","adj_variable_pvals"
"1",TPHE_IST_Birth,voiTPHE_5,-0.9459,0.3883,0.2519,0.783874358974359
"2",Birth_CD4_C1,voi,-0.314,0.7306,0.05137,0.563327692307692
"3",Birth_CD4_C2,voi,0.07552,1.078,0.6636,0.940034254143646
"4",Birth_CD4_C3,voi,0.1784,1.195,0.3105,0.849413793103448
"5",Birth_CD4_C4,voi,-0.3023,0.7391,0.05948,0.563327692307692
"6",Birth_CD4_C5,voi,0.09923,1.104,0.6095,0.905276073619632
"7",Birth_CD4_C6,voi,-0.1041,0.9012,0.6146,0.905276073619632
"8",Birth_CD4_C7,voi,-0.1914,0.8258,0.4119,0.863756923076923
"9",Birth_CD4_C8,voi,-0.2781,0.7572,0.1359,0.763763636363636
"10",Birth_CD4_C9,voi,0.09771,1.103,0.6173,0.905276073619632
"11",Birth_CD4_C10,voi,-0.3011,0.74,0.1651,0.763763636363636
"12",Birth_CD4_C11,voi,-0.1697,0.8439,0.4636,0.863756923076923
"13",Birth_CD4_C12,voi,0.119,1.126,0.5189,0.877583098591549
"14",Birth_CD4_C13,voi,-0.395,0.6737,0.07042,0.605965
"15",Birth_CD4_C14,voi,-0.02441,0.9759,0.8886,0.992895774647887
"16",Birth_CD4_C15,voi,0.111,1.117,0.5218,0.877583098591549
"17",Birth_CD4_C16,voi,-0.04832,0.9528,0.8065,0.976404060913706
"18",Birth_CD4_C17,voi,0.1042,1.11,0.5723,0.887709090909091
"19",Birth_CD4_C18,voi,0.4641,1.591,0.008538,0.370209
"20",Birth_CD8_C1,voi,-0.1983,0.8201,0.2545,0.783874358974359
"21",Birth_CD8_C2,voi,0.09434,1.099,0.535,0.887709090909091
"22",Birth_CD8_C3,voi,0.1461,1.157,0.3989,0.863756923076923
"23",Birth_CD8_C4,voi,0.2496,1.284,0.08571,0.640443125
"24",Birth_CD8_C5,voi,0.03703,1.038,0.8379,0.97755
"25",Birth_CD8_C6,voi,0.1394,1.15,0.4127,0.863756923076923
"26",Birth_CD8_C7,voi,0.161,1.175,0.3216,0.853362222222222
"27",Birth_CD8_C8,voi,-0.2384,0.7879,0.2254,0.783874358974359
"28",Birth_CD8_C9,voi,0.01763,1.018,0.9244,0.996229184549356
"29",Birth_CD8_C10,voi,-0.453,0.6357,0.02953,0.50201
"30",Birth_CD8_C11,voi,-0.1265,0.8812,0.62,0.905276073619632
"31",Birth_CD8_C12,voi,0.05799,1.06,0.7723,0.952369948186528
"32",Discharge_CD4_C1,voi,-0.03557,0.9651,0.828,0.97755
"33",Discharge_CD4_C2,voi,0.2309,1.26,0.107,0.707388888888889
"34",Discharge_CD4_C3,voi,0.5301,1.699,0.0006233,0.103133333333333
"35",Discharge_CD4_C4,voi,-0.3329,0.7168,0.05368,0.563327692307692
"36",Discharge_CD4_C5,voi,-0.0144,0.9857,0.9178,0.996229184549356
"37",Discharge_CD4_C6,voi,0.1111,1.117,0.4526,0.863756923076923
"38",Discharge_CD4_C7,voi,-0.3287,0.7198,0.09015,0.650172727272727
