"","var_names","voi_names","var_coeffs","var_exp_coeffs","variable_pvals","adj_variable_pvals"
"1",Birth_CD4_C1,voi,-0.3405,0.7114,0.1477,0.430953846153846
"2",Birth_CD4_C2,voi,-0.5977,0.5501,0.01042,0.163246666666667
"3",Birth_CD4_C3,voi,-0.2305,0.7942,0.365,0.647358490566038
"4",Birth_CD4_C4,voi,0.117,1.124,0.6439,0.840647222222222
"5",Birth_CD4_C5,voi,-0.1807,0.8347,0.5595,0.796863636363636
"6",Birth_CD4_C6,voi,0.01207,1.012,0.9668,0.9668
"7",Birth_CD4_C7,voi,-0.5119,0.5994,0.2767,0.536274747474747
"8",Birth_CD4_C8,voi,-0.3153,0.7296,0.2763,0.536274747474747
"9",Birth_CD4_C9,voi,-0.1948,0.823,0.4542,0.722703333333333
"10",Birth_CD4_C10,voi,0.2749,1.316,0.28,0.536274747474747
"11",Birth_CD4_C11,voi,0.4626,1.588,0.03914,0.284677575757576
"12",Birth_CD4_C12,voi,0.2834,1.328,0.1563,0.445218181818182
"13",Birth_CD4_C13,voi,0.1857,1.204,0.6174,0.817402816901408
"14",Birth_CD4_C14,voi,-0.02404,0.9762,0.9267,0.964097237569061
"15",Birth_CD4_C15,voi,0.524,1.689,0.006698,0.1259224
"16",Birth_CD4_C16,voi,0.5399,1.716,0.00297,0.0703355
"17",Birth_CD4_C17,voi,0.3149,1.37,0.2735,0.536274747474747
"18",Birth_CD4_C18,voi,0.4244,1.529,0.06707,0.315229
"19",Birth_CD8_C1,voi,0.09009,1.094,0.7023,0.868634210526316
"20",Birth_CD8_C2,voi,-0.6742,0.5096,0.03501,0.284677575757576
"21",Birth_CD8_C3,voi,-1.044,0.3521,0.002627,0.0703355
"22",Birth_CD8_C4,voi,0.3563,1.428,0.05304,0.29328
"23",Birth_CD8_C5,voi,-0.7563,0.4694,0.0002199,0.0137804
"24",Birth_CD8_C6,voi,-0.434,0.6479,0.09,0.372280869565217
"25",Birth_CD8_C7,voi,-0.404,0.6677,0.09941,0.376752
"26",Birth_CD8_C8,voi,0.3829,1.466,0.3333,0.608353398058252
"27",Birth_CD8_C9,voi,-0.3057,0.7366,0.2022,0.487353846153846
"28",Birth_CD8_C10,voi,0.1179,1.125,0.6701,0.856998639455782
"29",Birth_CD8_C11,voi,0.102,1.107,0.7252,0.879597419354839
"30",Birth_CD8_C12,voi,0.3195,1.376,0.1794,0.449696
