"","var_names","voi_names","var_coeffs","var_exp_coeffs","variable_pvals","adj_variable_pvals"
"218",OneYear_TPHE_CD8_C3,voi,-0.2312,0.7936,0.07824,0.720259090909091
"219",OneYear_TPHE_CD8_C4,voi,-0.01312,0.987,0.8824,0.9944
"220",OneYear_TPHE_CD8_C5,voi,-0.04963,0.9516,0.6046,0.94865816993464
"221",OneYear_TPHE_CD8_C6,voi,0.137,1.147,0.1299,0.720259090909091
"222",OneYear_TPHE_CD8_C7,voi,0.01836,1.019,0.8492,0.9944
"223",OneYear_TPHE_CD8_C8,voi,-0.3192,0.7268,0.003791,0.302016333333333
"224",OneYear_TPHE_CD8_C9,voi,-0.1667,0.8464,0.1004,0.720259090909091
"225",OneYear_TPHE_CD8_C10,voi,-0.1514,0.8595,0.1175,0.720259090909091
"226",OneYear_TPHE_CD8_C11,voi,0.08243,1.086,0.3809,0.836292173913043
"227",OneYear_TPHE_CD8_C12,voi,-0.1718,0.8422,0.08061,0.720259090909091
"228",OneYear_TPHE_CD8_C13,voi,0.05231,1.054,0.6051,0.94865816993464
"229",OneYear_TPHE_CD8_C14,voi,-0.07181,0.9307,0.4911,0.901632061068702
"230",OneYear_TPHE_CD8_C15,voi,0.1544,1.167,0.1145,0.720259090909091
"231",OneYear_TPHE_CD8_C16,voi,0.02084,1.021,0.8358,0.9944
"232",OneYear_TPHE_CD8_C17,voi,0.01956,1.02,0.8462,0.9944
"233",OneYear_TPHE_CD8_C18,voi,0.03329,1.034,0.7374,0.991044382022472
"234",OneYear_TPHE_CD8_C19,voi,-0.08877,0.9151,0.4154,0.851820512820513
"235",OneYear_TPHE_CD8_C20,voi,-0.04346,0.9575,0.6667,0.981044910179641
"236",OneYear_TPHE_CD8_C21,voi,-0.01719,0.983,0.8559,0.9944
"237",OneYear_TPHE_CD8_C22,voi,0.04824,1.049,0.6566,0.977970186335404
"238",OneYear_TPHE_CD8_C23,voi,-0.3996,0.6706,0.003582,0.302016333333333
"239",OneYear_TPHE_CD8_C24,voi,0.1472,1.159,0.2183,0.745338571428571
