"","var_names","voi_names","var_coeffs","var_exp_coeffs","variable_pvals","adj_variable_pvals"
"1",TPHE_IST_Birth,voiTPHE_2,-0.2658,0.7666,NaN,NaN
"2",TPHE_IST_Disch,voiTPHE_3,0.2237,1.251,0.1823,0.978288
"3",ICS_IST_Birth,voiICS_2,0.5599,1.751,0.00694,0.529753333333333
"4",ICS_IST_Disch,voiICS_5,0.2141,1.239,0.2667,0.978288
"5",ICS_IST_Disch,voiICS_6,0.07892,1.082,0.689,0.978288
"6",Birth_CD4_C1,voi,0.1397,1.15,0.2203,0.978288
"7",Birth_CD4_C2,voi,-0.01538,0.9847,0.9181,0.978288
"8",Birth_CD4_C3,voi,0.2284,1.257,0.1191,0.978288
"9",Birth_CD4_C4,voi,0.04688,1.048,0.6865,0.978288
"10",Birth_CD4_C5,voi,0.05604,1.058,0.656,0.978288
"11",Birth_CD4_C6,voi,-0.2071,0.8129,0.1053,0.978288
"12",Birth_CD4_C7,voi,-0.1087,0.897,0.4905,0.978288
"13",Birth_CD4_C8,voi,-0.04553,0.9555,0.7064,0.978288
"14",Birth_CD4_C9,voi,0.2628,1.301,0.04515,0.978288
"15",Birth_CD4_C10,voi,-0.2312,0.7935,0.2284,0.978288
"16",Birth_CD4_C11,voi,-0.07371,0.9289,0.6541,0.978288
"17",Birth_CD4_C12,voi,0.03679,1.037,0.759,0.978288
"18",Birth_CD4_C13,voi,0.08485,1.089,0.5901,0.978288
"19",Birth_CD4_C14,voi,-0.01484,0.9853,0.9035,0.978288
"20",Birth_CD4_C15,voi,-0.262,0.7695,0.0482,0.978288
"21",Birth_CD4_C16,voi,-0.1446,0.8654,0.05916,0.978288
"22",Birth_CD4_C17,voi,0.02037,1.021,0.8789,0.978288
"23",Birth_CD4_C18,voi,0.008318,1.008,0.9582,0.978288
"24",Birth_CD8_C1,voi,0.08928,1.093,0.5256,0.978288
"25",Birth_CD8_C2,voi,-0.1574,0.8543,0.4442,0.978288
"26",Birth_CD8_C3,voi,-0.001763,0.9982,0.9879,0.992232894736842
"27",Birth_CD8_C4,voi,0.1502,1.162,0.2406,0.978288
"28",Birth_CD8_C5,voi,0.01191,1.012,0.9303,0.978288
"29",Birth_CD8_C6,voi,0.1454,1.156,0.2375,0.978288
"30",Birth_CD8_C7,voi,0.1399,1.15,0.4765,0.978288
"31",Birth_CD8_C8,voi,-0.01309,0.987,0.9443,0.978288
"32",Birth_CD8_C9,voi,-0.1318,0.8765,0.32,0.978288
"33",Birth_CD8_C10,voi,-0.05098,0.9503,0.6917,0.978288
"34",Birth_CD8_C11,voi,-0.1045,0.9008,0.4251,0.978288
"35",Birth_CD8_C12,voi,0.08228,1.086,0.4927,0.978288
"36",Discharge_CD4_C1,voi,-0.0817,0.9216,0.4056,0.978288
"37",Discharge_CD4_C2,voi,-0.08826,0.9155,0.4229,0.978288
"38",Discharge_CD4_C3,voi,-0.06178,0.9401,0.6094,0.978288
"39",Discharge_CD4_C4,voi,-0.01396,0.9861,0.899,0.978288
"40",Discharge_CD4_C5,voi,-0.05597,0.9456,0.5428,0.978288
"41",Discharge_CD4_C6,voi,-0.1397,0.8696,0.2081,0.978288
"42",Discharge_CD4_C7,voi,-0.007007,0.993,0.9415,0.978288
"43",Discharge_CD4_C8,voi,0.05514,1.057,0.7522,0.978288
"44",Discharge_CD4_C9,voi,-0.02264,0.9776,0.8444,0.978288
"45",Discharge_CD4_C10,voi,-0.101,0.9039,NaN,NaN
"46",Discharge_CD4_C11,voi,0.04655,1.048,NaN,NaN
"47",Discharge_CD4_C12,voi,-0.02634,0.974,0.7876,0.978288
"48",Discharge_CD4_C13,voi,0.2048,1.227,0.1912,0.978288
"49",Discharge_CD4_C14,voi,0.0649,1.067,0.5254,0.978288
"50",Discharge_CD4_C15,voi,0.01907,1.019,NaN,NaN
"51",Discharge_CD4_C16,voi,-0.02229,0.978,0.8301,0.978288
"52",Discharge_CD4_C17,voi,-0.04683,0.9542,0.6675,0.978288
"53",Discharge_CD4_C18,voi,-0.07306,0.9295,0.5014,0.978288
"54",Discharge_CD8_C1,voi,-0.04735,0.9538,0.6439,0.978288
"55",Discharge_CD8_C2,voi,-0.09392,0.9104,0.4215,0.978288
"56",Discharge_CD8_C3,voi,-0.04966,0.9516,0.6802,0.978288
"57",Discharge_CD8_C4,voi,-0.04048,0.9603,0.7305,0.978288
"58",Discharge_CD8_C5,voi,-0.04798,0.9532,0.7087,0.978288
"59",Discharge_CD8_C6,voi,-0.06016,0.9416,0.5599,0.978288
"60",Discharge_CD8_C7,voi,-0.0297,0.9707,0.7509,0.978288
"61",Discharge_CD8_C8,voi,0.01696,1.017,0.8871,0.978288
"62",Discharge_CD8_C9,voi,-0.0913,0.9127,0.4185,0.978288
"63",Discharge_CD8_C10,voi,-0.04433,0.9566,0.6872,0.978288
"64",Discharge_CD8_C11,voi,-0.06614,0.936,NaN,NaN
"65",Discharge_CD8_C12,voi,0.1013,1.107,0.3629,0.978288
"66",OneYear_CD4_C1,voi,-0.03055,0.9699,0.8024,0.978288
"67",OneYear_CD4_C2,voi,-0.0323,0.9682,0.81,0.978288
"68",OneYear_CD4_C3,voi,0.03026,1.031,0.8739,0.978288
"69",OneYear_CD4_C4,voi,0.3325,1.394,0.059,0.978288
"70",OneYear_CD4_C5,voi,0.07623,1.079,0.5573,0.978288
"71",OneYear_CD4_C6,voi,0.0071,1.007,0.9612,0.978288
"72",OneYear_CD4_C7,voi,-0.1587,0.8533,0.1797,0.978288
"73",OneYear_CD4_C8,voi,0.1125,1.119,0.4704,0.978288
"74",OneYear_CD4_C9,voi,0.08434,1.088,0.5859,0.978288
"75",OneYear_CD4_C10,voi,-0.1164,0.8901,0.3948,0.978288
"76",OneYear_CD4_C11,voi,0.1262,1.135,0.313,0.978288
"77",OneYear_CD4_C12,voi,0.1024,1.108,0.4286,0.978288
"78",OneYear_CD4_C13,voi,0.1324,1.142,0.2748,0.978288
"79",OneYear_CD4_C14,voi,-0.08986,0.9141,0.4929,0.978288
"80",OneYear_CD4_C15,voi,0.1188,1.126,0.424,0.978288
"81",OneYear_CD4_C16,voi,0.0909,1.095,0.4414,0.978288
"82",OneYear_CD4_C17,voi,0.1596,1.173,0.2384,0.978288
"83",OneYear_CD4_C18,voi,0.0404,1.041,0.7961,0.978288
"84",OneYear_CD8_C1,voi,-0.04835,0.9528,0.6768,0.978288
"85",OneYear_CD8_C2,voi,0.01012,1.01,0.9403,0.978288
"86",OneYear_CD8_C3,voi,0.1346,1.144,0.3021,0.978288
"87",OneYear_CD8_C4,voi,0.02056,1.021,0.873,0.978288
"88",OneYear_CD8_C5,voi,0.05049,1.052,0.7062,0.978288
"89",OneYear_CD8_C6,voi,-0.05154,0.9498,0.691,0.978288
"90",OneYear_CD8_C7,voi,0.06692,1.069,0.6146,0.978288
"91",OneYear_CD8_C8,voi,0.1093,1.116,0.3457,0.978288
"92",OneYear_CD8_C9,voi,-0.1135,0.8927,0.3603,0.978288
"93",OneYear_CD8_C10,voi,-0.00816,0.9919,0.9469,0.978288
"94",OneYear_CD8_C11,voi,0.0864,1.09,0.5691,0.978288
"95",OneYear_CD8_C12,voi,0.01306,1.013,0.9198,0.978288
"96",Birth_TPHE_C1,voi,0.02156,1.022,0.9141,0.978288
"97",Birth_TPHE_C2,voi,0.006513,1.007,0.9556,0.978288
"98",Birth_TPHE_C3,voi,0.01372,1.014,0.9141,0.978288
"99",Birth_TPHE_C4,voi,-0.05849,0.9432,0.6768,0.978288
"100",Birth_TPHE_C5,voi,0.1119,1.118,0.4048,0.978288
"101",Birth_TPHE_C6,voi,-0.08295,0.9204,0.0009503,0.10880935
"102",Birth_TPHE_C8,voi,-0.1294,0.8786,0.4407,0.978288
"103",Birth_TPHE_C9,voi,-0.0344,0.9662,0.8579,0.978288
"104",Birth_TPHE_C10,voi,-0.1194,0.8874,0.4985,0.978288
"105",Birth_TPHE_C11,voi,-0.08999,0.9139,NaN,NaN
"106",Birth_TPHE_C12,voi,-0.0873,0.9164,0.4483,0.978288
"107",Birth_TPHE_C13,voi,-0.03279,0.9677,0.7937,0.978288
"108",Birth_TPHE_C14,voi,-0.07267,0.9299,NaN,NaN
"109",Birth_TPHE_C15,voi,-0.1779,0.837,NaN,NaN
"110",Birth_TPHE_C16,voi,0.2349,1.265,NaN,NaN
"111",Birth_TPHE_C17,voi,-0.1891,0.8277,0.1467,0.978288
"112",Birth_TPHE_C18,voi,-0.05638,0.9452,0.6607,0.978288
"113",Birth_TPHE_C20,voi,-0.05698,0.9446,NaN,NaN
"114",Birth_TPHE_C21,voi,-0.1049,0.9005,0.3338,0.978288
"115",Birth_TPHE_C22,voi,-0.003117,0.9969,0.9828,0.991459030837004
"116",Birth_TPHE_C23,voi,-0.01531,0.9848,NaN,NaN
"117",Birth_TPHE_C24,voi,0.05846,1.06,0.6404,0.978288
"118",Birth_TPHE_C25,voi,0.04253,1.043,0.7489,0.978288
"119",Birth_TPHE_C26,voi,0.03242,1.033,0.798,0.978288
"120",Birth_TPHE_C27,voi,0.07188,1.075,0.5702,0.978288
"121",Discharge_TPHE_C1,voi,-0.05218,0.9492,0.7315,0.978288
"122",Discharge_TPHE_C2,voi,0.0284,1.029,0.7921,0.978288
"123",Discharge_TPHE_C3,voi,-0.04937,0.9518,0.844,0.978288
"124",Discharge_TPHE_C4,voi,-0.04533,0.9557,0.6452,0.978288
"125",Discharge_TPHE_C5,voi,-0.02118,0.979,0.8425,0.978288
"126",Discharge_TPHE_C6,voi,-0.1132,0.8929,0.2904,0.978288
"127",Discharge_TPHE_C8,voi,-0.02176,0.9785,0.8367,0.978288
"128",Discharge_TPHE_C9,voi,-0.02163,0.9786,0.8531,0.978288
"129",Discharge_TPHE_C10,voi,-0.03033,0.9701,0.7853,0.978288
"130",Discharge_TPHE_C11,voi,-0.02575,0.9746,0.8203,0.978288
