estimate,std.error,statistic,p.value,term,response,voi,produced_warning
3.806,0.08904,42.74,0,log_alpha,NAS_1,Discharge_CD4_C3,FALSE
0.9939,0.1181,8.416,0,log_beta,NAS_1,Discharge_CD4_C3,FALSE
-0.4147,0.1854,-2.236,0.02533,MODVaginal,NAS_1,Discharge_CD4_C3,FALSE
0.1494,0.09573,1.56,0.1187,voi,NAS_1,Discharge_CD4_C3,FALSE
NA,NA,NA,0.13221625534861037,anova,NAS_1,Discharge_CD4_C3,NA
3.799,0.09257,41.03,0,log_alpha,NAS_1,Discharge_CD4_C4,FALSE
0.962,0.1163,8.273,2.22e-16,log_beta,NAS_1,Discharge_CD4_C4,FALSE
-0.3824,0.1959,-1.952,0.05092,MODVaginal,NAS_1,Discharge_CD4_C4,FALSE
-0.01675,0.07704,-0.2174,0.8279,voi,NAS_1,Discharge_CD4_C4,FALSE
NA,NA,NA,0.8278811605529184,anova,NAS_1,Discharge_CD4_C4,NA
3.787,0.08205,46.16,0,log_alpha,NAS_1,Discharge_CD4_C5,FALSE
