term,estimate,std.error,statistic,p.value,response,voi,produced_warning
MODVaginal,-0.3382439454440544,0.24481047889135651,-1.3816563203332581,0.1707850719384802,NAS_1,Birth_TPHE_C27,TRUE
voi,0.322902499141678,0.111749377419313,2.8895239203889527,0.004921127300069433,NAS_1,Birth_TPHE_C27,TRUE
anova,NA,NA,NA,0.0041412787908721455,NAS_1,Birth_TPHE_C27,NA
(Intercept),-2.152055873440331,0.1282262762413094,-16.783267334304952,6.86016810388784e-30,NAS_1,Discharge_TPHE_C1,TRUE
MODVaginal,-0.4467809059339101,0.20226119294945755,-2.20893043998586,0.02963588617492099,NAS_1,Discharge_TPHE_C1,TRUE
voi,-0.27757448313079175,0.17313234126320973,-1.6032503292310976,0.11227044953117675,NAS_1,Discharge_TPHE_C1,TRUE
anova,NA,NA,NA,0.06150534373387149,NAS_1,Discharge_TPHE_C1,NA
(Intercept),-2.1303259417267033,0.12374954498564918,-17.214818381544355,1.1429198409953983e-30,NAS_1,Discharge_TPHE_C2,TRUE
MODVaginal,-0.4617699723096012,0.1996238387729648,-2.313200543321778,0.02291606208819498,NAS_1,Discharge_TPHE_C2,TRUE
voi,0.1685764248649565,0.09947844233248393,1.694602578330774,0.09349708678611694,NAS_1,Discharge_TPHE_C2,TRUE
anova,NA,NA,NA,0.08790219906521006,NAS_1,Discharge_TPHE_C2,NA
(Intercept),-2.2258512955627676,0.13038471046171277,-17.071413417115227,2.0678222697283552e-30,NAS_1,Discharge_TPHE_C3,TRUE
MODVaginal,-0.3041399977517674,0.2020716479204001,-1.505109701839884,0.13568473671963255,NAS_1,Discharge_TPHE_C3,TRUE
voi,0.25341734692517387,0.07845064003404766,3.2302776218930846,0.001710221085445412,NAS_1,Discharge_TPHE_C3,TRUE
anova,NA,NA,NA,0.002332810070431777,NAS_1,Discharge_TPHE_C3,NA
(Intercept),-2.1358107449657666,0.12731851075252437,-16.77533559214538,7.091467372509617e-30,NAS_1,Discharge_TPHE_C4,TRUE
MODVaginal,-0.4302692957981989,0.20367543496985854,-2.1125242514487494,0.037320880690017544,NAS_1,Discharge_TPHE_C4,TRUE
voi,-0.12313121290583863,0.11438918182715044,-1.0764235825368345,0.2845223266573379,NAS_1,Discharge_TPHE_C4,TRUE
anova,NA,NA,NA,0.2629490545853543,NAS_1,Discharge_TPHE_C4,NA
(Intercept),-2.2159886353095044,0.12792133632176308,-17.323057271193477,7.3183299126626265e-31,NAS_1,Discharge_TPHE_C5,TRUE
MODVaginal,-0.3997032307439679,0.19686481805041364,-2.0303436373360064,0.04517759097836625,NAS_1,Discharge_TPHE_C5,TRUE
