term,estimate,std.error,statistic,p.value,response,voi,produced_warning
voi,0.07855138130727435,0.11099944969195254,0.7076736103221359,0.48115454403399505,NAS_1,Birth_TPHE_CD8_C14,TRUE
anova,NA,NA,NA,0.4668420352790288,NAS_1,Birth_TPHE_CD8_C14,NA
(Intercept),-2.980808631101458,0.185747449542872,-16.04764231453667,5.0423592426209466e-27,NAS_1,Birth_TPHE_CD8_C15,TRUE
MODVaginal,-0.1776903159150981,0.22435086013540348,-0.7920197667522018,0.43063444023465713,NAS_1,Birth_TPHE_CD8_C15,TRUE
gaBirth,-0.13788523651168164,0.02126666017581378,-6.483633789780317,6.3065378096278585e-9,NAS_1,Birth_TPHE_CD8_C15,TRUE
voi,0.023538402160824607,0.10334553070819898,0.22776410358069965,0.8203965958834221,NAS_1,Birth_TPHE_CD8_C15,TRUE
anova,NA,NA,NA,0.8104575560691599,NAS_1,Birth_TPHE_CD8_C15,NA
(Intercept),-3.0851018492891282,0.19516290641161765,-15.807828987657864,1.2864563156949348e-26,NAS_1,Birth_TPHE_CD8_C16,TRUE
MODVaginal,-0.19441159900611096,0.2124706927849831,-0.9150043069838923,0.36287226752778146,NAS_1,Birth_TPHE_CD8_C16,TRUE
gaBirth,-0.13620379891092732,0.020144357005277492,-6.761387264693738,1.8544806884767506e-9,NAS_1,Birth_TPHE_CD8_C16,TRUE
voi,-0.8153277068555259,0.5359057605506429,-1.5214012740183593,0.13200617095780573,NAS_1,Birth_TPHE_CD8_C16,TRUE
anova,NA,NA,NA,0.035978657119884454,NAS_1,Birth_TPHE_CD8_C16,NA
(Intercept),-3.0104069560291196,0.19078113287211573,-15.779374567646862,1.438365484850086e-26,NAS_1,Birth_TPHE_CD8_C17,TRUE
MODVaginal,-0.18581741369261026,0.2207702266594093,-0.8416778680001897,0.40241627145909453,NAS_1,Birth_TPHE_CD8_C17,TRUE
gaBirth,-0.13350896027628603,0.021126764259768404,-6.319423014082971,1.2916260344071121e-8,NAS_1,Birth_TPHE_CD8_C17,TRUE
voi,-0.34576725968512895,0.36597924297343926,-0.9447728698379291,0.34755040074273136,NAS_1,Birth_TPHE_CD8_C17,TRUE
anova,NA,NA,NA,0.21293945125328248,NAS_1,Birth_TPHE_CD8_C17,NA
(Intercept),-2.992951895240697,0.18499528787006883,-16.178530435557864,3.0336587350608537e-27,NAS_1,Birth_TPHE_CD8_C18,TRUE
MODVaginal,-0.1711225185332769,0.21888449190336587,-0.7817937079289512,0.43658739738625874,NAS_1,Birth_TPHE_CD8_C18,TRUE
gaBirth,-0.14139974190841023,0.02132453438879102,-6.630847798615255,3.302016254222827e-9,NAS_1,Birth_TPHE_CD8_C18,TRUE
voi,0.0938183080582372,0.10068799021536383,0.93177257642711,0.35418939197660293,NAS_1,Birth_TPHE_CD8_C18,TRUE
anova,NA,NA,NA,0.35022743452627503,NAS_1,Birth_TPHE_CD8_C18,NA
