estimate,std.error,statistic,p.value,term,response,voi,produced_warning
0.9295,0.1377,6.751,1.465e-11,log_beta,REC_2,Discharge_TPHE_CD8_C1,FALSE
0.1726,0.2796,0.6174,0.537,MODVaginal,REC_2,Discharge_TPHE_CD8_C1,FALSE
-0.1239,0.03567,-3.473,5.149e-4,gaBirth,REC_2,Discharge_TPHE_CD8_C1,FALSE
-0.056710000000000003,0.1347,-0.421,0.6738,voi,REC_2,Discharge_TPHE_CD8_C1,FALSE
NA,NA,NA,0.6215437197474809,anova,REC_2,Discharge_TPHE_CD8_C1,NA
2.395,0.1535,15.6,0,log_alpha,REC_2,Discharge_TPHE_CD8_C2,FALSE
0.9304,0.1402,6.634,3.263e-11,log_beta,REC_2,Discharge_TPHE_CD8_C2,FALSE
0.1643,0.8629,0.1904,0.849,MODVaginal,REC_2,Discharge_TPHE_CD8_C2,FALSE
-0.1202,0.09948,-1.209,0.2268,gaBirth,REC_2,Discharge_TPHE_CD8_C2,FALSE
-0.008492,0.1432,-0.0593,0.9527,voi,REC_2,Discharge_TPHE_CD8_C2,FALSE
NA,NA,NA,0.9513273198161024,anova,REC_2,Discharge_TPHE_CD8_C2,NA
2.391,0.1016,23.53,0,log_alpha,REC_2,Discharge_TPHE_CD8_C3,FALSE
0.9341,0.1374,6.797,1.066e-11,log_beta,REC_2,Discharge_TPHE_CD8_C3,FALSE
0.1584,NaN,NaN,NaN,MODVaginal,REC_2,Discharge_TPHE_CD8_C3,FALSE
-0.118,NaN,NaN,NaN,gaBirth,REC_2,Discharge_TPHE_CD8_C3,FALSE
-0.04081,0.09568,-0.4265,0.6697,voi,REC_2,Discharge_TPHE_CD8_C3,FALSE
NA,NA,NA,0.7647265113701852,anova,REC_2,Discharge_TPHE_CD8_C3,NA
2.395,0.1109,21.6,0,log_alpha,REC_2,Discharge_TPHE_CD8_C5,FALSE
0.93,0.1391,6.684,2.32e-11,log_beta,REC_2,Discharge_TPHE_CD8_C5,FALSE
0.161,0.239,0.6738,0.5004,MODVaginal,REC_2,Discharge_TPHE_CD8_C5,FALSE
-0.1211,0.0271,-4.47,7.833e-6,gaBirth,REC_2,Discharge_TPHE_CD8_C5,FALSE
0.00108,0.09439,0.01144,0.9909,voi,REC_2,Discharge_TPHE_CD8_C5,FALSE
NA,NA,NA,1,anova,REC_2,Discharge_TPHE_CD8_C5,NA
2.395,0.06845,34.98,0,log_alpha,REC_2,Discharge_TPHE_CD8_C8,FALSE
0.9439,0.1364,6.919,4.552e-12,log_beta,REC_2,Discharge_TPHE_CD8_C8,FALSE
0.1964,NaN,NaN,NaN,MODVaginal,REC_2,Discharge_TPHE_CD8_C8,FALSE
-0.1166,NaN,NaN,NaN,gaBirth,REC_2,Discharge_TPHE_CD8_C8,FALSE
-0.09831,0.1098,-0.8956,0.3704,voi,REC_2,Discharge_TPHE_CD8_C8,FALSE
NA,NA,NA,0.42457195867148867,anova,REC_2,Discharge_TPHE_CD8_C8,NA
2.403,0.07438,32.31,0,log_alpha,REC_2,Discharge_TPHE_CD8_C9,FALSE
0.9263,0.1313,7.056,1.717e-12,log_beta,REC_2,Discharge_TPHE_CD8_C9,FALSE
0.1911,NaN,NaN,NaN,MODVaginal,REC_2,Discharge_TPHE_CD8_C9,FALSE
-0.1215,NaN,NaN,NaN,gaBirth,REC_2,Discharge_TPHE_CD8_C9,FALSE
0.08319,NaN,NaN,NaN,voi,REC_2,Discharge_TPHE_CD8_C9,FALSE
NA,NA,NA,0.464361637710503,anova,REC_2,Discharge_TPHE_CD8_C9,NA
2.387,0.08122,29.39,0,log_alpha,REC_2,Discharge_TPHE_CD8_C10,FALSE
0.9349,0.1364,6.855,7.118e-12,log_beta,REC_2,Discharge_TPHE_CD8_C10,FALSE
0.1346,NaN,NaN,NaN,MODVaginal,REC_2,Discharge_TPHE_CD8_C10,FALSE
-0.1266,NaN,NaN,NaN,gaBirth,REC_2,Discharge_TPHE_CD8_C10,FALSE
-0.01849,0.07477,-0.2473,0.8047,voi,REC_2,Discharge_TPHE_CD8_C10,FALSE
NA,NA,NA,1,anova,REC_2,Discharge_TPHE_CD8_C10,NA
2.396,0.1083,22.12,0,log_alpha,REC_2,Discharge_TPHE_CD8_C12,FALSE
0.9349,0.1381,6.768,1.303e-11,log_beta,REC_2,Discharge_TPHE_CD8_C12,FALSE
0.1396,0.2773,0.5033,0.6148,MODVaginal,REC_2,Discharge_TPHE_CD8_C12,FALSE
-0.1237,0.0364,-3.397,6.815e-4,gaBirth,REC_2,Discharge_TPHE_CD8_C12,FALSE
-0.04532,0.1183,-0.383,0.7017,voi,REC_2,Discharge_TPHE_CD8_C12,FALSE
NA,NA,NA,0.6493450525238754,anova,REC_2,Discharge_TPHE_CD8_C12,NA
2.377,0.1031,23.05,0,log_alpha,REC_2,Discharge_TPHE_CD8_C13,FALSE
0.9364,0.1347,6.954,3.55e-12,log_beta,REC_2,Discharge_TPHE_CD8_C13,FALSE
0.2099,NaN,NaN,NaN,MODVaginal,REC_2,Discharge_TPHE_CD8_C13,FALSE
-0.1259,NaN,NaN,NaN,gaBirth,REC_2,Discharge_TPHE_CD8_C13,FALSE
-0.2047,0.192,-1.066,0.2865,voi,REC_2,Discharge_TPHE_CD8_C13,FALSE
NA,NA,NA,0.21460600473437597,anova,REC_2,Discharge_TPHE_CD8_C13,NA
2.402,0.1084,22.17,0,log_alpha,REC_2,Discharge_TPHE_CD8_C14,FALSE
0.9238,0.1384,6.673,2.501e-11,log_beta,REC_2,Discharge_TPHE_CD8_C14,FALSE
0.2106,0.2152,0.9787,0.3277,MODVaginal,REC_2,Discharge_TPHE_CD8_C14,FALSE
-0.1315,0.02894,-4.544,5.517e-6,gaBirth,REC_2,Discharge_TPHE_CD8_C14,FALSE
0.1318,0.1462,0.9018,0.3672,voi,REC_2,Discharge_TPHE_CD8_C14,FALSE
NA,NA,NA,0.3233118228242601,anova,REC_2,Discharge_TPHE_CD8_C14,NA
2.391,NaN,NaN,NaN,log_alpha,REC_2,Discharge_TPHE_CD8_C15,FALSE
0.9409,0.1186,7.933,2.22e-15,log_beta,REC_2,Discharge_TPHE_CD8_C15,FALSE
0.144,NaN,NaN,NaN,MODVaginal,REC_2,Discharge_TPHE_CD8_C15,FALSE
-0.1202,NaN,NaN,NaN,gaBirth,REC_2,Discharge_TPHE_CD8_C15,FALSE
0.08053,NaN,NaN,NaN,voi,REC_2,Discharge_TPHE_CD8_C15,FALSE
NA,NA,NA,0.404265383997646,anova,REC_2,Discharge_TPHE_CD8_C15,NA
2.374,0.1048,22.64,0,log_alpha,REC_2,Discharge_TPHE_CD8_C16,FALSE
0.9378,0.1345,6.975,3.058e-12,log_beta,REC_2,Discharge_TPHE_CD8_C16,FALSE
0.207,NaN,NaN,NaN,MODVaginal,REC_2,Discharge_TPHE_CD8_C16,FALSE
-0.1259,NaN,NaN,NaN,gaBirth,REC_2,Discharge_TPHE_CD8_C16,FALSE
-0.2311,0.2047,-1.129,0.2589,voi,REC_2,Discharge_TPHE_CD8_C16,FALSE
NA,NA,NA,0.19457944285315365,anova,REC_2,Discharge_TPHE_CD8_C16,NA
2.382,0.1085,21.95,0,log_alpha,REC_2,Discharge_TPHE_CD8_C17,FALSE
0.9336,0.1371,6.809,9.818e-12,log_beta,REC_2,Discharge_TPHE_CD8_C17,FALSE
0.1969,0.2316,0.8505,0.395,MODVaginal,REC_2,Discharge_TPHE_CD8_C17,FALSE
-0.1254,0.02741,-4.573,4.809e-6,gaBirth,REC_2,Discharge_TPHE_CD8_C17,FALSE
-0.1203,0.156,-0.7713,0.4405,voi,REC_2,Discharge_TPHE_CD8_C17,FALSE
NA,NA,NA,0.3554171194277169,anova,REC_2,Discharge_TPHE_CD8_C17,NA
2.397,0.1284,18.66,0,log_alpha,REC_2,Discharge_TPHE_CD8_C18,FALSE
0.9293,0.1433,6.486,8.8110000000000006e-11,log_beta,REC_2,Discharge_TPHE_CD8_C18,FALSE
0.1643,0.3932,0.4179,0.676,MODVaginal,REC_2,Discharge_TPHE_CD8_C18,FALSE
-0.1202,0.04596,-2.616,0.008896,gaBirth,REC_2,Discharge_TPHE_CD8_C18,FALSE
0.01576,0.1165,0.1352,0.8924,voi,REC_2,Discharge_TPHE_CD8_C18,FALSE
NA,NA,NA,0.8589879976458705,anova,REC_2,Discharge_TPHE_CD8_C18,NA
2.396,0.1137,21.08,0,log_alpha,REC_2,Discharge_TPHE_CD8_C19,FALSE
0.9324,0.1406,6.633,3.294e-11,log_beta,REC_2,Discharge_TPHE_CD8_C19,FALSE
0.1609,0.2771,0.5804,0.5616,MODVaginal,REC_2,Discharge_TPHE_CD8_C19,FALSE
-0.1186,0.03077,-3.856,1.152e-4,gaBirth,REC_2,Discharge_TPHE_CD8_C19,FALSE
0.02716,0.1122,0.2421,0.8087,voi,REC_2,Discharge_TPHE_CD8_C19,FALSE
NA,NA,NA,0.7994400638793607,anova,REC_2,Discharge_TPHE_CD8_C19,NA
2.389,0.1084,22.03,0,log_alpha,REC_2,Discharge_TPHE_CD8_C20,FALSE
0.9407,0.1402,6.708,1.9670000000000002e-11,log_beta,REC_2,Discharge_TPHE_CD8_C20,FALSE
0.1778,0.2489,0.7146,0.4749,MODVaginal,REC_2,Discharge_TPHE_CD8_C20,FALSE
-0.1262,0.02805,-4.501,6.767e-6,gaBirth,REC_2,Discharge_TPHE_CD8_C20,FALSE
-0.1441,0.1269,-1.136,0.2561,voi,REC_2,Discharge_TPHE_CD8_C20,FALSE
NA,NA,NA,0.19729620046959517,anova,REC_2,Discharge_TPHE_CD8_C20,NA
2.395,0.08793,27.23,0,log_alpha,REC_2,Discharge_TPHE_CD8_C21,FALSE
0.9304,0.1362,6.833,8.342e-12,log_beta,REC_2,Discharge_TPHE_CD8_C21,FALSE
0.1655,NaN,NaN,NaN,MODVaginal,REC_2,Discharge_TPHE_CD8_C21,FALSE
-0.1214,NaN,NaN,NaN,gaBirth,REC_2,Discharge_TPHE_CD8_C21,FALSE
0.01042,0.07743,0.1346,0.8929,voi,REC_2,Discharge_TPHE_CD8_C21,FALSE
NA,NA,NA,0.9183923886847039,anova,REC_2,Discharge_TPHE_CD8_C21,NA
2.373,0.08752,27.11,0,log_alpha,REC_2,Discharge_TPHE_CD8_C22,FALSE
0.9381,0.1366,6.868,6.508e-12,log_beta,REC_2,Discharge_TPHE_CD8_C22,FALSE
0.2067,NaN,NaN,NaN,MODVaginal,REC_2,Discharge_TPHE_CD8_C22,FALSE
-0.1259,NaN,NaN,NaN,gaBirth,REC_2,Discharge_TPHE_CD8_C22,FALSE
-0.2326,0.2549,-0.9127,0.3614,voi,REC_2,Discharge_TPHE_CD8_C22,FALSE
