term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-2.350583633674806,0.2828495557422168,-8.310367069542364,9.540648650284917e-17,REC_2,Discharge_TPHE_C26,TRUE
MODVaginal,-0.5335087572224166,0.40371987319174557,-1.32148252451528,0.1863405256562207,REC_2,Discharge_TPHE_C26,TRUE
voi,0.29425222045898597,0.20748280835423918,1.4182004899249474,0.15613223892436884,REC_2,Discharge_TPHE_C26,TRUE
anova,NA,NA,NA,0.1442469584812047,REC_2,Discharge_TPHE_C26,NA
(Intercept),-2.299531667731208,0.27894339021314396,-8.243721659703457,1.6693523495599034e-16,REC_2,Discharge_TPHE_C27,TRUE
MODVaginal,-0.6371548976539813,0.3951716899721476,-1.6123495529218934,0.10688589589674062,REC_2,Discharge_TPHE_C27,TRUE
voi,0.08795224454374077,0.20003951013944857,0.4396743647413894,0.6601729719860758,REC_2,Discharge_TPHE_C27,TRUE
anova,NA,NA,NA,0.6586903648371377,REC_2,Discharge_TPHE_C27,NA
(Intercept),-2.242741348480272,0.3479013045024094,-6.446487321132593,1.1447218761166112e-10,REC_2,OneYear_TPHE_C1,TRUE
MODVaginal,-0.7967588053796951,0.4532418765791436,-1.7579108342619523,0.0787626820826162,REC_2,OneYear_TPHE_C1,TRUE
voi,-0.9607307370308765,0.47039608125370863,-2.0423867785427094,0.04111318019856773,REC_2,OneYear_TPHE_C1,TRUE
anova,NA,NA,NA,0.00442792455963129,REC_2,OneYear_TPHE_C1,NA
(Intercept),-2.2780109191085804,0.3242877073069419,-7.024660102063067,2.145879893632025e-12,REC_2,OneYear_TPHE_C2,TRUE
MODVaginal,-0.5676282652828535,0.43176460256921345,-1.3146706837595854,0.18862060328750482,REC_2,OneYear_TPHE_C2,TRUE
voi,-0.15769117071407257,0.21758141687692464,-0.7247455824927865,0.46860812545892416,REC_2,OneYear_TPHE_C2,TRUE
anova,NA,NA,NA,0.46059527967553476,REC_2,OneYear_TPHE_C2,NA
(Intercept),-2.209882500878008,0.3291316825975286,-6.714280689836578,1.8899619324319214e-11,REC_2,OneYear_TPHE_C3,TRUE
MODVaginal,-0.7090019795562188,0.4386038447162215,-1.6164974112685813,0.10598681265120823,REC_2,OneYear_TPHE_C3,TRUE
voi,-0.35389151209410336,0.2491369962354523,-1.4204695305856965,0.1554710329946254,REC_2,OneYear_TPHE_C3,TRUE
anova,NA,NA,NA,0.11202965733362616,REC_2,OneYear_TPHE_C3,NA
(Intercept),-2.275204671295356,0.32600763910505787,-6.978991895837625,2.9730562564320435e-12,REC_2,OneYear_TPHE_C4,TRUE
MODVaginal,-0.5856084489220776,0.4309784577833295,-1.3587882139958072,0.17421370913098652,REC_2,OneYear_TPHE_C4,TRUE
voi,-0.26101068201718763,0.23866925225616667,-1.0936083284705715,0.2741267949480458,REC_2,OneYear_TPHE_C4,TRUE
