term,estimate,std.error,statistic,p.value,response,voi,produced_warning
anova,NA,NA,NA,0.27843537155074205,NAS_1,Discharge_TPHE_C13,NA
(Intercept),-2.057564068606418,0.4575930029601823,-4.496493729790396,6.908321580257638e-6,NAS_1,Discharge_TPHE_C14,TRUE
MODVaginal,-0.6633255426117652,0.6321965450033293,-1.0492394301336652,0.294067935241339,NAS_1,Discharge_TPHE_C14,TRUE
gaBirth,-0.4713081567238936,0.10576857420216063,-4.456032051855586,8.349055489301236e-6,NAS_1,Discharge_TPHE_C14,TRUE
voi,0.3320496220777287,0.47104802750138475,0.7049167021015762,0.4808620754776353,NAS_1,Discharge_TPHE_C14,TRUE
anova,NA,NA,NA,0.48616347195619475,NAS_1,Discharge_TPHE_C14,NA
(Intercept),-1.941047353804648,0.4576088441515085,-4.2417173064120055,2.218159763831923e-5,NAS_1,Discharge_TPHE_C15,TRUE
MODVaginal,-0.7884266472871128,0.6216830963729172,-1.2682131006730386,0.20472185985005578,NAS_1,Discharge_TPHE_C15,TRUE
gaBirth,-0.44801523666709253,0.10275101736766648,-4.360202440273581,1.2994217240731212e-5,NAS_1,Discharge_TPHE_C15,TRUE
voi,0.6761933453461312,0.41545938295288504,1.6275799105560569,0.10361399173184112,NAS_1,Discharge_TPHE_C15,TRUE
anova,NA,NA,NA,0.08999917004635434,NAS_1,Discharge_TPHE_C15,NA
(Intercept),-1.9433038218186474,0.5861366382522716,-3.3154450600684933,9.149732431675131e-4,NAS_1,Discharge_TPHE_C17,TRUE
MODVaginal,-0.7824335353450493,0.6110082197596601,-1.2805613902425392,0.20034776877664495,NAS_1,Discharge_TPHE_C17,TRUE
gaBirth,-0.4622951938176583,0.12080365655331932,-3.826831132496509,1.2980349709478865e-4,NAS_1,Discharge_TPHE_C17,TRUE
voi,0.33524559135689297,0.8140977728132421,0.41180015785868007,0.6804859056717041,NAS_1,Discharge_TPHE_C17,TRUE
anova,NA,NA,NA,0.7986810339954942,NAS_1,Discharge_TPHE_C17,NA
(Intercept),-1.9351168541685382,0.46630489931060526,-4.14989603804175,3.326263138514581e-5,NAS_1,Discharge_TPHE_C21,TRUE
MODVaginal,-0.7511847753142374,0.6171688768699364,-1.2171462357661045,0.22354858181487697,NAS_1,Discharge_TPHE_C21,TRUE
gaBirth,-0.4461678093521354,0.10644638118185588,-4.191479357009706,2.771414081028257e-5,NAS_1,Discharge_TPHE_C21,TRUE
