estimate,std.error,statistic,p.value,term,response,voi,produced_warning
0.06431,0.1759,0.3657,0.7146,voi,REC_2,OneYear_TPHE_CD8_C17,FALSE
NA,NA,NA,0.7221287647057895,anova,REC_2,OneYear_TPHE_CD8_C17,NA
2.534,0.1588,15.96,0,log_alpha,REC_2,OneYear_TPHE_CD8_C18,FALSE
0.5811,0.1423,4.084,4.434e-5,log_beta,REC_2,OneYear_TPHE_CD8_C18,FALSE
0.1837,0.3177,0.5781,0.5632,MODVaginal,REC_2,OneYear_TPHE_CD8_C18,FALSE
0.1294,0.1762,0.7347,0.4625,voi,REC_2,OneYear_TPHE_CD8_C18,FALSE
NA,NA,NA,0.46546384130089036,anova,REC_2,OneYear_TPHE_CD8_C18,NA
2.553,0.1555,16.41,0,log_alpha,REC_2,OneYear_TPHE_CD8_C19,FALSE
0.6005,0.1439,4.172,3.016e-5,log_beta,REC_2,OneYear_TPHE_CD8_C19,FALSE
0.2132,0.3142,0.6786,0.4974,MODVaginal,REC_2,OneYear_TPHE_CD8_C19,FALSE
0.185,0.1432,1.292,0.1963,voi,REC_2,OneYear_TPHE_CD8_C19,FALSE
NA,NA,NA,0.24239741979343465,anova,REC_2,OneYear_TPHE_CD8_C19,NA
2.545,0.1614,15.76,0,log_alpha,REC_2,OneYear_TPHE_CD8_C20,FALSE
0.5795,0.1425,4.066,4.778e-5,log_beta,REC_2,OneYear_TPHE_CD8_C20,FALSE
0.1443,0.3144,0.4591,0.6462,MODVaginal,REC_2,OneYear_TPHE_CD8_C20,FALSE
0.1095,0.2032,0.5387,0.5901,voi,REC_2,OneYear_TPHE_CD8_C20,FALSE
NA,NA,NA,0.5879927456248171,anova,REC_2,OneYear_TPHE_CD8_C20,NA
2.519,0.1581,15.93,0,log_alpha,REC_2,OneYear_TPHE_CD8_C21,FALSE
0.5887,0.1422,4.14,3.471e-5,log_beta,REC_2,OneYear_TPHE_CD8_C21,FALSE
0.1618,0.3126,0.5175,0.6048,MODVaginal,REC_2,OneYear_TPHE_CD8_C21,FALSE
-0.1726,0.1535,-1.125,0.2606,voi,REC_2,OneYear_TPHE_CD8_C21,FALSE
NA,NA,NA,0.2581158668731538,anova,REC_2,OneYear_TPHE_CD8_C21,NA
2.535,0.1572,16.12,0,log_alpha,REC_2,OneYear_TPHE_CD8_C22,FALSE
0.5905,0.1431,4.126,3.696e-5,log_beta,REC_2,OneYear_TPHE_CD8_C22,FALSE
0.189,0.3132,0.6035,0.5462,MODVaginal,REC_2,OneYear_TPHE_CD8_C22,FALSE
0.1598,0.1514,1.055,0.2912,voi,REC_2,OneYear_TPHE_CD8_C22,FALSE
NA,NA,NA,0.30441999189136293,anova,REC_2,OneYear_TPHE_CD8_C22,NA
2.54,0.1543,16.46,0,log_alpha,REC_2,OneYear_TPHE_CD8_C23,FALSE
0.6074,0.1436,4.229,2.347e-5,log_beta,REC_2,OneYear_TPHE_CD8_C23,FALSE
0.2352,0.3088,0.7616,0.4463,MODVaginal,REC_2,OneYear_TPHE_CD8_C23,FALSE
-0.209,0.1432,-1.459,0.1445,voi,REC_2,OneYear_TPHE_CD8_C23,FALSE
NA,NA,NA,0.16069841006143182,anova,REC_2,OneYear_TPHE_CD8_C23,NA
