term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-3.4943576255254962,0.19855515161548865,-17.598927034099237,3.0263661094114594e-30,REC_1,OneYear_TPHE_C2,TRUE
MODVaginal,0.41834862737253325,0.2462569976179513,1.6988293994454071,0.0929664138866868,REC_1,OneYear_TPHE_C2,TRUE
voi,0.12022904731174491,0.11155148183465356,1.0777897822097389,0.28414148414529666,REC_1,OneYear_TPHE_C2,TRUE
anova,NA,NA,NA,0.28350153374742704,REC_1,OneYear_TPHE_C2,NA
(Intercept),-3.4990798235558414,0.1976203698160705,-17.706068594105503,2.0077418985083868e-30,REC_1,OneYear_TPHE_C3,TRUE
MODVaginal,0.43156469650104534,0.243448372366362,1.772715472714641,0.07981681683894987,REC_1,OneYear_TPHE_C3,TRUE
voi,-0.1321977866832329,0.1372765027997135,-0.9630037478162562,0.3382456476186917,REC_1,OneYear_TPHE_C3,TRUE
anova,NA,NA,NA,0.30607059878322307,REC_1,OneYear_TPHE_C3,NA
(Intercept),-3.5476001479700447,0.19926879833624808,-17.803088981265347,1.3863215469721118e-30,REC_1,OneYear_TPHE_C4,TRUE
MODVaginal,0.49388907454051606,0.24089176399051918,2.050253052902025,0.04338492781190329,REC_1,OneYear_TPHE_C4,TRUE
voi,-0.23067133598550393,0.14515353120731936,-1.589154146419225,0.1156953737063477,REC_1,OneYear_TPHE_C4,TRUE
anova,NA,NA,NA,0.07914630070121514,REC_1,OneYear_TPHE_C4,NA
(Intercept),-3.507155844184816,0.20278094421110385,-17.295292996237915,9.757753714899458e-30,REC_1,OneYear_TPHE_C5,TRUE
MODVaginal,0.46075882184797196,0.24804302883266807,1.8575761794894214,0.06665160063235734,REC_1,OneYear_TPHE_C5,TRUE
voi,-0.031411838035240995,0.12231565181791156,-0.25680963612083807,0.7979391211318021,REC_1,OneYear_TPHE_C5,TRUE
anova,NA,NA,NA,0.7939884740135775,REC_1,OneYear_TPHE_C5,NA
(Intercept),-3.5091676263056355,0.2023397795175559,-17.3429447964836,8.113842689950398e-30,REC_1,OneYear_TPHE_C6,TRUE
MODVaginal,0.4635654920618575,0.2475639499792146,1.8725080614555485,0.06453447764490411,REC_1,OneYear_TPHE_C6,TRUE
voi,-0.027008966092276574,0.11796249401515574,-0.2289623182162161,0.8194418137712054,REC_1,OneYear_TPHE_C6,TRUE
anova,NA,NA,NA,0.8153190978835376,REC_1,OneYear_TPHE_C6,NA
(Intercept),-3.5325966516637926,0.20598327333316063,-17.149919964375528,1.7161270045351912e-29,REC_1,OneYear_TPHE_C8,TRUE
MODVaginal,0.4896862340032168,0.2504681230198685,1.9550840566021739,0.05382092728333071,REC_1,OneYear_TPHE_C8,TRUE
voi,-0.14016045955202033,0.13127606986346346,-1.0676771455589529,0.2886541099119448,REC_1,OneYear_TPHE_C8,TRUE
anova,NA,NA,NA,0.26493666844592895,REC_1,OneYear_TPHE_C8,NA
(Intercept),-3.5068390783441905,0.20055951292201785,-17.485279193451824,4.6842084537796154e-30,REC_1,OneYear_TPHE_C9,TRUE
MODVaginal,0.4466930973525342,0.2456823765661749,1.818173137185592,0.07251930097936138,REC_1,OneYear_TPHE_C9,TRUE
voi,-0.11805197727573429,0.1381219285036911,-0.8546939544981775,0.3950953131251078,REC_1,OneYear_TPHE_C9,TRUE
anova,NA,NA,NA,0.3628278890841457,REC_1,OneYear_TPHE_C9,NA
(Intercept),-3.5274707250829653,0.20076377652732247,-17.57025488411702,3.378457792046145e-30,REC_1,OneYear_TPHE_C10,TRUE
MODVaginal,0.47266614407504304,0.24382739584030302,1.938527631179804,0.05583888540135897,REC_1,OneYear_TPHE_C10,TRUE
voi,-0.17880324240620704,0.16809873502496972,-1.063679880634719,0.2904513171346712,REC_1,OneYear_TPHE_C10,TRUE
anova,NA,NA,NA,0.22485663142085374,REC_1,OneYear_TPHE_C10,NA
(Intercept),-3.504597901609786,0.2027155249820981,-17.28825605201811,1.0027495471205901e-29,REC_1,OneYear_TPHE_C11,TRUE
MODVaginal,0.45539751159982655,0.24858375322071277,1.831968122210657,0.07041785360629886,REC_1,OneYear_TPHE_C11,TRUE
voi,-0.029827323734967704,0.12332881829381548,-0.24185201924101662,0.8094705998751808,REC_1,OneYear_TPHE_C11,TRUE
anova,NA,NA,NA,0.8072979835752211,REC_1,OneYear_TPHE_C11,NA
(Intercept),-3.5213605656874236,0.19485595193452504,-18.071608953832015,5.004272620196944e-31,REC_1,OneYear_TPHE_C12,TRUE
MODVaginal,0.4612208991644344,0.23762345986519903,1.9409737549738544,0.05553676424666018,REC_1,OneYear_TPHE_C12,TRUE
voi,-0.15833358372395512,0.12851200557648587,-1.2320528577364742,0.2212873300135596,REC_1,OneYear_TPHE_C12,TRUE
anova,NA,NA,NA,0.1916509966557794,REC_1,OneYear_TPHE_C12,NA
(Intercept),-3.5084272188020202,0.2047702744032023,-17.133479109832916,1.829585386761235e-29,REC_1,OneYear_TPHE_C13,TRUE
MODVaginal,0.46297196068818297,0.2509257879290385,1.845055322967087,0.06847145223510814,REC_1,OneYear_TPHE_C13,TRUE
voi,0.014895976912239593,0.11701816053811583,0.12729628327551423,0.8990030765849388,REC_1,OneYear_TPHE_C13,TRUE
anova,NA,NA,NA,0.8958189436536599,REC_1,OneYear_TPHE_C13,NA
(Intercept),-3.4875439691731565,0.19151534632695372,-18.21025853050567,2.967267172061548e-31,REC_1,OneYear_TPHE_C14,TRUE
MODVaginal,0.4064205833650696,0.23704887739772496,1.7145011941278663,0.0900384838716496,REC_1,OneYear_TPHE_C14,TRUE
voi,-0.16741779315194483,0.12334086722871095,-1.357358650977393,0.17821874923274555,REC_1,OneYear_TPHE_C14,TRUE
anova,NA,NA,NA,0.16561183190661005,REC_1,OneYear_TPHE_C14,NA
(Intercept),-3.509555479040488,0.19743338338916872,-17.775896957216524,1.5377747154495423e-30,REC_1,OneYear_TPHE_C15,TRUE
MODVaginal,0.454950219836638,0.24157912592999753,1.8832348121355034,0.06304868062969488,REC_1,OneYear_TPHE_C15,TRUE
voi,-0.10177346199841064,0.11478090983548182,-0.8866758605092514,0.3777262762193304,REC_1,OneYear_TPHE_C15,TRUE
anova,NA,NA,NA,0.36588851637069914,REC_1,OneYear_TPHE_C15,NA
(Intercept),-3.5084832178019667,0.2033105470827047,-17.256769351836677,1.1329614997078809e-29,REC_1,OneYear_TPHE_C16,TRUE
MODVaginal,0.4627324480363835,0.2487191909953973,1.8604613748721412,0.0662380448958446,REC_1,OneYear_TPHE_C16,TRUE
voi,-0.026328585744857358,0.11794058166481955,-0.22323601743530236,0.8238812181267716,REC_1,OneYear_TPHE_C16,TRUE
anova,NA,NA,NA,0.8148269830815814,REC_1,OneYear_TPHE_C16,NA
(Intercept),-3.511236754555903,0.19725294021710818,-17.80068145342335,1.3991011764042903e-30,REC_1,OneYear_TPHE_C17,TRUE
MODVaginal,0.46198891525300156,0.2409988009171428,1.9169759911454367,0.058561423070756624,REC_1,OneYear_TPHE_C17,TRUE
voi,-0.09268422580404599,0.117551201755898,-0.7884583434247677,0.4325967222004933,REC_1,OneYear_TPHE_C17,TRUE
anova,NA,NA,NA,0.42169212294609926,REC_1,OneYear_TPHE_C17,NA
(Intercept),-3.5055055495648095,0.19373779035264327,-18.094072112539617,4.597234545652297e-31,REC_1,OneYear_TPHE_C21,TRUE
MODVaginal,0.43507735545260756,0.23768070336269637,1.8305118980933321,0.07063725935306885,REC_1,OneYear_TPHE_C21,TRUE
voi,-0.16951645113616653,0.1273172772933678,-1.3314489183236482,0.1865598798760876,REC_1,OneYear_TPHE_C21,TRUE
anova,NA,NA,NA,0.1642081272793035,REC_1,OneYear_TPHE_C21,NA
(Intercept),-3.506316648876406,0.2016080448681852,-17.3917496753113,6.718813285936389e-30,REC_1,OneYear_TPHE_C22,TRUE
MODVaginal,0.4560640803716268,0.24672650002337365,1.848460057304025,0.06797252153289406,REC_1,OneYear_TPHE_C22,TRUE
voi,-0.06133526345257316,0.11973430772619319,-0.5122613945606452,0.6097811692182856,REC_1,OneYear_TPHE_C22,TRUE
anova,NA,NA,NA,0.605312378941113,REC_1,OneYear_TPHE_C22,NA
(Intercept),-3.508743496871116,0.20374494376384036,-17.221254339141204,1.3004277990782767e-29,REC_1,OneYear_TPHE_C23,TRUE
MODVaginal,0.4619477010268956,0.2490615876976413,1.854752895848782,0.06705837433239907,REC_1,OneYear_TPHE_C23,TRUE
voi,0.02050235415587025,0.11462810117834048,0.1788597555495778,0.8584685194165356,REC_1,OneYear_TPHE_C23,TRUE
anova,NA,NA,NA,0.8570785273358833,REC_1,OneYear_TPHE_C23,NA
(Intercept),-3.506840477830733,0.20385051157732706,-17.203000623819754,1.3959988604387668e-29,REC_1,OneYear_TPHE_C24,TRUE
MODVaginal,0.4598909139249842,0.2495493878488263,1.8428853618490142,0.06879103432154056,REC_1,OneYear_TPHE_C24,TRUE
voi,-0.00461548951630729,0.11714175676819286,-0.039400890371148335,0.9686620935876168,REC_1,OneYear_TPHE_C24,TRUE
anova,NA,NA,NA,0.9697695134573456,REC_1,OneYear_TPHE_C24,NA
(Intercept),-3.507105613274649,0.17232208967557203,-20.352037396235268,1.2400183135575939e-34,REC_1,OneYear_TPHE_C25,TRUE
MODVaginal,0.3347949278804696,0.21462997798596212,1.5598702987444135,0.12246310762328556,REC_1,OneYear_TPHE_C25,TRUE
voi,0.3928376201691724,0.11498738991479293,3.416353918984246,9.711472823637502e-4,REC_1,OneYear_TPHE_C25,TRUE
anova,NA,NA,NA,3.1332429786687507e-4,REC_1,OneYear_TPHE_C25,NA
(Intercept),-3.485931595095456,0.1939815271254116,-17.970430724786258,7.338871051742565e-31,REC_1,OneYear_TPHE_C26,TRUE
MODVaginal,0.38834508252891786,0.24195779616799915,1.6050116535996106,0.11215739029956615,REC_1,OneYear_TPHE_C26,TRUE
voi,-0.19691353991221552,0.12152801386213531,-1.620313980738627,0.10882610183871584,REC_1,OneYear_TPHE_C26,TRUE
anova,NA,NA,NA,0.0926816635860448,REC_1,OneYear_TPHE_C26,NA
(Intercept),-3.5088134054480653,0.20023090055649584,-17.523835710153246,4.038262565858115e-30,REC_1,OneYear_TPHE_C27,TRUE
MODVaginal,0.44643850826452314,0.2450568755266934,1.8217750769285956,0.07196562512275909,REC_1,OneYear_TPHE_C27,TRUE
voi,-0.1377509730697608,0.12775248077240758,-1.0782645647027838,0.28393081962589567,REC_1,OneYear_TPHE_C27,TRUE
anova,NA,NA,NA,0.2639536549349277,REC_1,OneYear_TPHE_C27,NA
(Intercept),-3.6269721439407316,0.15844812598377406,-22.890596663239506,2.6990846746644458e-39,REC_1,Birth_TPHE_CD8_C1,TRUE
MODVaginal,0.39691138155555633,0.20520161457071545,1.9342507727626816,0.05622384455203469,REC_1,Birth_TPHE_CD8_C1,TRUE
voi,-0.006073887798519322,0.0998236342041097,-0.06084618985219497,0.9516166187096771,REC_1,Birth_TPHE_CD8_C1,TRUE
anova,NA,NA,NA,0.9503296462193143,REC_1,Birth_TPHE_CD8_C1,NA
(Intercept),-3.630542211971193,0.16015726907517527,-22.66860713182537,5.707289187073091e-39,REC_1,Birth_TPHE_CD8_C2,TRUE
MODVaginal,0.4018815157543034,0.20738407925251737,1.937860983363915,0.05577513667375788,REC_1,Birth_TPHE_CD8_C2,TRUE
voi,-0.026960140868035845,0.10709588735312454,-0.25173833967256704,0.8018172654782514,REC_1,Birth_TPHE_CD8_C2,TRUE
anova,NA,NA,NA,0.7964424110061383,REC_1,Birth_TPHE_CD8_C2,NA
(Intercept),-3.6618685994850892,0.15870637358970943,-23.073229616800507,1.4633077939102911e-39,REC_1,Birth_TPHE_CD8_C3,TRUE
MODVaginal,0.43280863236311945,0.20291541779948485,2.1329509460479166,0.03565061124419204,REC_1,Birth_TPHE_CD8_C3,TRUE
voi,-0.16382704849164578,0.11227026026594054,-1.459220350105005,0.14798598603000093,REC_1,Birth_TPHE_CD8_C3,TRUE
anova,NA,NA,NA,0.12577360634203877,REC_1,Birth_TPHE_CD8_C3,NA
(Intercept),-3.63043532224647,0.1561877494571688,-23.244046571284006,8.27968865335057e-40,REC_1,Birth_TPHE_CD8_C5,TRUE
MODVaginal,0.40174004784400685,0.20207023832727244,1.9881208196199072,0.04983696943209569,REC_1,Birth_TPHE_CD8_C5,TRUE
voi,-0.0688911412264083,0.10603359950931009,-0.6497104837071898,0.517534099372545,REC_1,Birth_TPHE_CD8_C5,TRUE
anova,NA,NA,NA,0.5044473714236575,REC_1,Birth_TPHE_CD8_C5,NA
(Intercept),-3.6386995324077187,0.15966970209679646,-22.788916648706667,3.8010066112853384e-39,REC_1,Birth_TPHE_CD8_C6,TRUE
MODVaginal,0.41616226787748556,0.20704784576670232,2.0099811535658745,0.04742745298316418,REC_1,Birth_TPHE_CD8_C6,TRUE
voi,-0.07401954540421271,0.11266516805582,-0.6569869524140745,0.5128658610192973,REC_1,Birth_TPHE_CD8_C6,TRUE
anova,NA,NA,NA,0.49515044324262414,REC_1,Birth_TPHE_CD8_C6,NA
(Intercept),-3.626369960333713,0.15918444478207608,-22.780931675191148,3.904762254189336e-39,REC_1,Birth_TPHE_CD8_C8,TRUE
MODVaginal,0.39514815744286147,0.20612016813277026,1.9170766306979272,0.05840045293585794,REC_1,Birth_TPHE_CD8_C8,TRUE
voi,-0.03710515976025944,0.10444254420267439,-0.3552686316052928,0.7232196064901791,REC_1,Birth_TPHE_CD8_C8,TRUE
anova,NA,NA,NA,0.7187248624905064,REC_1,Birth_TPHE_CD8_C8,NA
(Intercept),-3.621558194863911,0.15620312852528934,-23.18492740225481,1.008006687417236e-39,REC_1,Birth_TPHE_CD8_C9,TRUE
MODVaginal,0.3843562486875746,0.2031395687648352,1.8920796722401492,0.06169537426095229,REC_1,Birth_TPHE_CD8_C9,TRUE
voi,0.0585076103076437,0.09754117702046908,0.5998247314092369,0.550130268970768,REC_1,Birth_TPHE_CD8_C9,TRUE
anova,NA,NA,NA,0.5520100715157823,REC_1,Birth_TPHE_CD8_C9,NA
(Intercept),-3.6186935338423836,0.15515265782174573,-23.323438893324575,6.3607374040565965e-40,REC_1,Birth_TPHE_CD8_C10,TRUE
MODVaginal,0.3646225659458997,0.20240256110296106,1.801472095802277,0.07497719209405437,REC_1,Birth_TPHE_CD8_C10,TRUE
voi,-0.14046723117936652,0.1039168765658826,-1.351726839964356,0.17985026055395525,REC_1,Birth_TPHE_CD8_C10,TRUE
anova,NA,NA,NA,0.16732096659336826,REC_1,Birth_TPHE_CD8_C10,NA
(Intercept),-3.6201349756213115,0.1564159160242147,-23.144287791409152,1.154233178745623e-39,REC_1,Birth_TPHE_CD8_C12,TRUE
MODVaginal,0.3745100608407118,0.20370659420720041,1.8384778475054098,0.06929035015209624,REC_1,Birth_TPHE_CD8_C12,TRUE
voi,-0.10436996399697998,0.10762736195247716,-0.9697344811170279,0.3347777681221227,REC_1,Birth_TPHE_CD8_C12,TRUE
anova,NA,NA,NA,0.3229996319972001,REC_1,Birth_TPHE_CD8_C12,NA
(Intercept),-3.636615936855268,0.16052385255961282,-22.654676416420784,5.982921007407151e-39,REC_1,Birth_TPHE_CD8_C13,TRUE
MODVaginal,0.40923378719195425,0.20726773714144908,1.974421069269812,0.05139959112962812,REC_1,Birth_TPHE_CD8_C13,TRUE
voi,-0.08589214778426374,0.14076819313161584,-0.6101672961302846,0.5432886271759557,REC_1,Birth_TPHE_CD8_C13,TRUE
anova,NA,NA,NA,0.4873894605467715,REC_1,Birth_TPHE_CD8_C13,NA
(Intercept),-3.626676171457173,0.15870960518278243,-22.8510187980142,3.0834267414678924e-39,REC_1,Birth_TPHE_CD8_C14,TRUE
MODVaginal,0.39634752445521193,0.20592769070119163,1.9246927069673512,0.05742658034672124,REC_1,Birth_TPHE_CD8_C14,TRUE
voi,8.958927051105538e-4,0.10075840938598211,0.008891493132633689,0.9929253880370268,REC_1,Birth_TPHE_CD8_C14,TRUE
anova,NA,NA,NA,0.9948180834032759,REC_1,Birth_TPHE_CD8_C14,NA
(Intercept),-3.626680046342584,0.15724304221764748,-23.064168660147935,1.5083126224445207e-39,REC_1,Birth_TPHE_CD8_C15,TRUE
MODVaginal,0.39546762585602513,0.20359784930379626,1.9423958907637209,0.05521580059501819,REC_1,Birth_TPHE_CD8_C15,TRUE
voi,0.04977373384609281,0.09884823113396186,0.5035369199337322,0.6158170886537655,REC_1,Birth_TPHE_CD8_C15,TRUE
anova,NA,NA,NA,0.6135606935544545,REC_1,Birth_TPHE_CD8_C15,NA
(Intercept),-3.6271616260739137,0.15844108899099849,-22.892809240158552,2.6790842653799213e-39,REC_1,Birth_TPHE_CD8_C17,TRUE
MODVaginal,0.397361951737299,0.20526023683875994,1.9358934680049238,0.05601929883598502,REC_1,Birth_TPHE_CD8_C17,TRUE
