estimate,std.error,statistic,p.value,term,response,voi,produced_warning
NA,NA,NA,0.713302865082523,anova,NAS_1,Birth_TPHE_CD8_C9,NA
3.696,0.1067,34.64,0,log_alpha,NAS_1,Birth_TPHE_CD8_C10,FALSE
0.9602,0.1325,7.244,4.357e-13,log_beta,NAS_1,Birth_TPHE_CD8_C10,FALSE
-0.1378,0.2236,-0.6161,0.5378,MODVaginal,NAS_1,Birth_TPHE_CD8_C10,FALSE
-0.007104,0.02391,-0.2971,0.7664,gaBirth,NAS_1,Birth_TPHE_CD8_C10,FALSE
0.01687,0.1123,0.1502,0.8806,voi,NAS_1,Birth_TPHE_CD8_C10,FALSE
NA,NA,NA,0.880452436029294,anova,NAS_1,Birth_TPHE_CD8_C10,NA
3.691,0.1071,34.45,0,log_alpha,NAS_1,Birth_TPHE_CD8_C12,FALSE
0.9627,0.1322,7.279,3.353e-13,log_beta,NAS_1,Birth_TPHE_CD8_C12,FALSE
-0.1203,0.2249,-0.5349,0.5927,MODVaginal,NAS_1,Birth_TPHE_CD8_C12,FALSE
-0.00769,0.02356,-0.3264,0.7441,gaBirth,NAS_1,Birth_TPHE_CD8_C12,FALSE
0.08061,0.1068,0.7546,0.4505,voi,NAS_1,Birth_TPHE_CD8_C12,FALSE
NA,NA,NA,0.44850755705576417,anova,NAS_1,Birth_TPHE_CD8_C12,NA
3.696,0.1065,34.71,0,log_alpha,NAS_1,Birth_TPHE_CD8_C14,FALSE
0.9606,0.1327,7.24,4.47e-13,log_beta,NAS_1,Birth_TPHE_CD8_C14,FALSE
-0.1398,0.2231,-0.6267,0.5308,MODVaginal,NAS_1,Birth_TPHE_CD8_C14,FALSE
-0.008041,0.0235,-0.3421,0.7322,gaBirth,NAS_1,Birth_TPHE_CD8_C14,FALSE
0.00376,0.1079,0.03484,0.9722,voi,NAS_1,Birth_TPHE_CD8_C14,FALSE
NA,NA,NA,0.972197325024175,anova,NAS_1,Birth_TPHE_CD8_C14,NA
3.693,0.106,34.82,0,log_alpha,NAS_1,Birth_TPHE_CD8_C15,FALSE
0.9651,0.1329,7.262,3.824e-13,log_beta,NAS_1,Birth_TPHE_CD8_C15,FALSE
-0.1179,0.2269,-0.5196,0.6033,MODVaginal,NAS_1,Birth_TPHE_CD8_C15,FALSE
-0.00585,0.02353,-0.2486,0.8037,gaBirth,NAS_1,Birth_TPHE_CD8_C15,FALSE
-0.05464,0.1159,-0.4715,0.6373,voi,NAS_1,Birth_TPHE_CD8_C15,FALSE
NA,NA,NA,0.6376039254487775,anova,NAS_1,Birth_TPHE_CD8_C15,NA
3.699,0.09908,37.33,0,log_alpha,NAS_1,Birth_TPHE_CD8_C18,FALSE
1.043,0.1336,7.811,5.773e-15,log_beta,NAS_1,Birth_TPHE_CD8_C18,FALSE
-0.2659,0.2117,-1.256,0.209,MODVaginal,NAS_1,Birth_TPHE_CD8_C18,FALSE
-0.01576,0.02272,-0.6935,0.488,gaBirth,NAS_1,Birth_TPHE_CD8_C18,FALSE
0.27,0.09612,2.809,0.00497,voi,NAS_1,Birth_TPHE_CD8_C18,FALSE
NA,NA,NA,0.00783972800943411,anova,NAS_1,Birth_TPHE_CD8_C18,NA
3.704,0.09958,37.2,0,log_alpha,NAS_1,Birth_TPHE_CD8_C20,FALSE
1.041,0.1325,7.858,3.997e-15,log_beta,NAS_1,Birth_TPHE_CD8_C20,FALSE
-0.2434,0.2146,-1.134,0.2566,MODVaginal,NAS_1,Birth_TPHE_CD8_C20,FALSE
0.001225,0.02303,0.05321,0.9576,gaBirth,NAS_1,Birth_TPHE_CD8_C20,FALSE
0.264,0.093410000000000007,2.826,0.004714,voi,NAS_1,Birth_TPHE_CD8_C20,FALSE
NA,NA,NA,0.007814524186787852,anova,NAS_1,Birth_TPHE_CD8_C20,NA
3.694,0.1069,34.56,0,log_alpha,NAS_1,Birth_TPHE_CD8_C21,FALSE
0.96,0.1325,7.248,4.226e-13,log_beta,NAS_1,Birth_TPHE_CD8_C21,FALSE
-0.1396,0.2234,-0.6251,0.5319,MODVaginal,NAS_1,Birth_TPHE_CD8_C21,FALSE
-0.007571,0.02329,-0.3251,0.7451,gaBirth,NAS_1,Birth_TPHE_CD8_C21,FALSE
0.02941,0.09874,0.2978,0.7658,voi,NAS_1,Birth_TPHE_CD8_C21,FALSE
NA,NA,NA,0.7649781619383146,anova,NAS_1,Birth_TPHE_CD8_C21,NA
3.705,0.1035,35.81,0,log_alpha,NAS_1,Birth_TPHE_CD8_C23,FALSE
0.9863,0.1338,7.372,1.679e-13,log_beta,NAS_1,Birth_TPHE_CD8_C23,FALSE
-0.2231,0.2257,-0.9882,0.3231,MODVaginal,NAS_1,Birth_TPHE_CD8_C23,FALSE
0.00393,0.02464,0.1595,0.8732,gaBirth,NAS_1,Birth_TPHE_CD8_C23,FALSE
-0.1371,0.1115,-1.23,0.2187,voi,NAS_1,Birth_TPHE_CD8_C23,FALSE
NA,NA,NA,0.2301878887260489,anova,NAS_1,Birth_TPHE_CD8_C23,NA
3.696,0.1066,34.66,0,log_alpha,NAS_1,Birth_TPHE_CD8_C24,FALSE
0.9603,0.1326,7.245,4.33e-13,log_beta,NAS_1,Birth_TPHE_CD8_C24,FALSE
-0.1406,0.2233,-0.6297,0.5289,MODVaginal,NAS_1,Birth_TPHE_CD8_C24,FALSE
-0.008546,0.02425,-0.3524,0.7245,gaBirth,NAS_1,Birth_TPHE_CD8_C24,FALSE
-0.01008,0.1098,-0.09184,0.9268,voi,NAS_1,Birth_TPHE_CD8_C24,FALSE
NA,NA,NA,0.9267783355538947,anova,NAS_1,Birth_TPHE_CD8_C24,NA
3.815,0.09397,40.6,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C2,FALSE
0.9619,0.116,8.294,0,log_beta,NAS_1,Discharge_TPHE_CD8_C2,FALSE
-0.3039,0.1934,-1.571,0.1162,MODVaginal,NAS_1,Discharge_TPHE_CD8_C2,FALSE
-0.02817,0.02024,-1.392,0.164,gaBirth,NAS_1,Discharge_TPHE_CD8_C2,FALSE
0.05852,0.08582,0.6819,0.4953,voi,NAS_1,Discharge_TPHE_CD8_C2,FALSE
NA,NA,NA,0.4946684436063594,anova,NAS_1,Discharge_TPHE_CD8_C2,NA
3.807,0.09288,40.99,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C3,FALSE
0.9766,0.1161,8.413,0,log_beta,NAS_1,Discharge_TPHE_CD8_C3,FALSE
-0.2838,0.1905,-1.49,0.1363,MODVaginal,NAS_1,Discharge_TPHE_CD8_C3,FALSE
-0.03794,0.02169,-1.749,0.08027,gaBirth,NAS_1,Discharge_TPHE_CD8_C3,FALSE
0.1355,0.09661,1.402,0.1608,voi,NAS_1,Discharge_TPHE_CD8_C3,FALSE
NA,NA,NA,0.1594614866557844,anova,NAS_1,Discharge_TPHE_CD8_C3,NA
3.814,0.09161,41.63,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C5,FALSE
