term,estimate,std.error,statistic,p.value,response,voi,produced_warning
voi,0.21481922424360475,0.23001254352250197,0.9339456924991099,0.3503319073859723,NAS_1,OneYear_TPHE_C26,TRUE
anova,NA,NA,NA,0.3377294654122003,NAS_1,OneYear_TPHE_C26,NA
(Intercept),-2.0306484125799567,0.3298882198829198,-6.155565098082773,7.481025811603521e-10,NAS_1,OneYear_TPHE_C27,TRUE
MODVaginal,-0.5356670492512812,0.4371776331372345,-1.2252846638270944,0.2204679846451994,NAS_1,OneYear_TPHE_C27,TRUE
voi,-0.10949318238879263,0.22009611231870618,-0.49747894788001984,0.6188513449283416,NAS_1,OneYear_TPHE_C27,TRUE
anova,NA,NA,NA,0.6046171163861275,NAS_1,OneYear_TPHE_C27,NA
(Intercept),-1.9957543071746875,0.3189464645913722,-6.25733321650581,3.9161609832374355e-10,NAS_1,Birth_TPHE_CD8_C1,TRUE
MODVaginal,-0.9448694283294397,0.44809036861250867,-2.108658196013417,0.03497409567095385,NAS_1,Birth_TPHE_CD8_C1,TRUE
voi,-0.5306902150479325,0.3523475087333838,-1.5061557181308127,0.1320272039979619,NAS_1,Birth_TPHE_CD8_C1,TRUE
anova,NA,NA,NA,0.05496123445485933,NAS_1,Birth_TPHE_CD8_C1,NA
(Intercept),-2.033935557734624,0.3309057231108983,-6.1465711097809566,7.917583577800461e-10,NAS_1,Birth_TPHE_CD8_C2,TRUE
MODVaginal,-0.8377573691495791,0.4596008633442166,-1.82279328862388,0.06833470460345926,NAS_1,Birth_TPHE_CD8_C2,TRUE
voi,-0.6939671043306099,0.27841321823651466,-2.4925795862934867,0.0126818905850897,NAS_1,Birth_TPHE_CD8_C2,TRUE
anova,NA,NA,NA,0.004447006158396558,NAS_1,Birth_TPHE_CD8_C2,NA
(Intercept),-2.0738054513823974,0.338405751281156,-6.12816254904435,8.889973874483234e-10,NAS_1,Birth_TPHE_CD8_C3,TRUE
MODVaginal,-0.7720040153289156,0.4676766490536144,-1.650721747367834,0.09879540506338665,NAS_1,Birth_TPHE_CD8_C3,TRUE
voi,-0.7640227597036388,0.28640238949646446,-2.6676549767859754,0.007638265259120715,NAS_1,Birth_TPHE_CD8_C3,TRUE
anova,NA,NA,NA,0.0022710723216176204,NAS_1,Birth_TPHE_CD8_C3,NA
(Intercept),-1.9210079154681732,0.32545222385588113,-5.902580393240289,3.578596348131911e-9,NAS_1,Birth_TPHE_CD8_C5,TRUE
MODVaginal,-0.9861807952545013,0.4499299340340128,-2.191854154740347,0.028390039311582235,NAS_1,Birth_TPHE_CD8_C5,TRUE
voi,0.451527400914694,0.26797454324758613,1.6849637858978281,0.09199555866856583,NAS_1,Birth_TPHE_CD8_C5,TRUE
anova,NA,NA,NA,0.06088510337733816,NAS_1,Birth_TPHE_CD8_C5,NA
(Intercept),-1.8947048911107762,0.3290854587692428,-5.757485907146561,8.537589425084985e-9,NAS_1,Birth_TPHE_CD8_C6,TRUE
MODVaginal,-1.054384297568208,0.4603043544414866,-2.2906242085142825,0.02198515755702913,NAS_1,Birth_TPHE_CD8_C6,TRUE
voi,0.36251045526074327,0.26941079928313344,1.345567646973825,0.17844199139733413,NAS_1,Birth_TPHE_CD8_C6,TRUE
anova,NA,NA,NA,0.1298574344299851,NAS_1,Birth_TPHE_CD8_C6,NA
(Intercept),-1.9743125996928244,0.31561098871297183,-6.255525537129939,3.961795045036133e-10,NAS_1,Birth_TPHE_CD8_C8,TRUE
MODVaginal,-0.9170131156002966,0.438583742648528,-2.09085067782636,0.03654145160112729,NAS_1,Birth_TPHE_CD8_C8,TRUE
voi,0.09678846636114556,0.22682691114817405,0.4267062751558556,0.6695932793893997,NAS_1,Birth_TPHE_CD8_C8,TRUE
anova,NA,NA,NA,0.6572860706694231,NAS_1,Birth_TPHE_CD8_C8,NA
(Intercept),-1.9973117377550482,0.3203203696380059,-6.235356621285779,4.507500360105359e-10,NAS_1,Birth_TPHE_CD8_C9,TRUE
MODVaginal,-0.8659113314216484,0.4464990404807694,-1.9393352570013933,0.05246052842974739,NAS_1,Birth_TPHE_CD8_C9,TRUE
voi,-0.3889527214634929,0.22966271444444764,-1.693582357956391,0.0903446727815457,NAS_1,Birth_TPHE_CD8_C9,TRUE
anova,NA,NA,NA,0.07608605751460483,NAS_1,Birth_TPHE_CD8_C9,NA
(Intercept),-1.9816656629323108,0.3187171430059583,-6.217631233269634,5.047159984603652e-10,NAS_1,Birth_TPHE_CD8_C10,TRUE
MODVaginal,-0.8882353304706639,0.44213324454299047,-2.0089765730889235,0.044539618249635336,NAS_1,Birth_TPHE_CD8_C10,TRUE
voi,0.28153259017296933,0.22708266800457835,1.2397801762981453,0.21505671242636457,NAS_1,Birth_TPHE_CD8_C10,TRUE
anova,NA,NA,NA,0.19807111670203706,NAS_1,Birth_TPHE_CD8_C10,NA
(Intercept),-1.9890690730711573,0.3175360932668787,-6.264072384991554,3.750512391939402e-10,NAS_1,Birth_TPHE_CD8_C12,TRUE
MODVaginal,-0.8791690863957089,0.4411687679087594,-1.9928180559180808,0.04628137386860194,NAS_1,Birth_TPHE_CD8_C12,TRUE
voi,0.24193223167591726,0.22738348705044983,1.0639832945399395,0.2873362673644736,NAS_1,Birth_TPHE_CD8_C12,TRUE
anova,NA,NA,NA,0.2707207875338848,NAS_1,Birth_TPHE_CD8_C12,NA
(Intercept),-1.9875705241044717,0.3165460284497497,-6.278930536068911,3.4090985111380823e-10,NAS_1,Birth_TPHE_CD8_C13,TRUE
MODVaginal,-0.8982715934237872,0.44014512029109015,-2.04085323683633,0.0412654171213658,NAS_1,Birth_TPHE_CD8_C13,TRUE
voi,-0.1093264408989586,0.2815549083793836,-0.3882952761443098,0.6977975326556897,NAS_1,Birth_TPHE_CD8_C13,TRUE
anova,NA,NA,NA,0.6687413539940753,NAS_1,Birth_TPHE_CD8_C13,NA
(Intercept),-1.9729011297406212,0.31612945141525484,-6.240801421405999,4.3533462961039486e-10,NAS_1,Birth_TPHE_CD8_C14,TRUE
MODVaginal,-0.9211948304986807,0.4403702025550883,-2.0918645838292007,0.03645063102199612,NAS_1,Birth_TPHE_CD8_C14,TRUE
voi,0.024645683493895752,0.22087349404694234,0.11158280263659792,0.9111542083649722,NAS_1,Birth_TPHE_CD8_C14,TRUE
anova,NA,NA,NA,0.9005427392059384,NAS_1,Birth_TPHE_CD8_C14,NA
(Intercept),-1.979237264356793,0.31571831139074175,-6.268997371860494,3.6338026317154076e-10,NAS_1,Birth_TPHE_CD8_C15,TRUE
MODVaginal,-0.9043179061295312,0.4387659126486274,-2.061048682361356,0.039298395904758567,NAS_1,Birth_TPHE_CD8_C15,TRUE
voi,-0.10953766609923173,0.2193003978586914,-0.49948685533080295,0.617436444683827,NAS_1,Birth_TPHE_CD8_C15,TRUE
anova,NA,NA,NA,0.6114937300180576,NAS_1,Birth_TPHE_CD8_C15,NA
(Intercept),-2.0350597581129297,0.3215889478932323,-6.328139606304414,2.4813459870224054e-10,NAS_1,Birth_TPHE_CD8_C16,TRUE
MODVaginal,-0.8580516674470187,0.441667246833451,-1.9427559403574763,0.052045653703393965,NAS_1,Birth_TPHE_CD8_C16,TRUE
voi,-0.4184479794191173,0.4541738046011765,-0.9213388689084984,0.356873533954848,NAS_1,Birth_TPHE_CD8_C16,TRUE
anova,NA,NA,NA,0.18632639983241048,NAS_1,Birth_TPHE_CD8_C16,NA
(Intercept),-2.0250614586672517,0.3256947137431818,-6.217667567868669,5.045991751201592e-10,NAS_1,Birth_TPHE_CD8_C17,TRUE
MODVaginal,-0.9535326074601491,0.44850223273452844,-2.1260375932722537,0.03350012946327657,NAS_1,Birth_TPHE_CD8_C17,TRUE
voi,-0.7917550762348788,0.5239833310406412,-1.5110310373088351,0.1307805433486592,NAS_1,Birth_TPHE_CD8_C17,TRUE
anova,NA,NA,NA,0.02978148944777391,NAS_1,Birth_TPHE_CD8_C17,NA
(Intercept),-1.9867122667533885,0.32238772193738974,-6.162493580134618,7.160823506871591e-10,NAS_1,Birth_TPHE_CD8_C18,TRUE
MODVaginal,-0.8911293210497531,0.4472374984878103,-1.99251924103596,0.046314116198904146,NAS_1,Birth_TPHE_CD8_C18,TRUE
voi,-0.405822880887376,0.23424416289214375,-1.7324780941253788,0.08318847408105302,NAS_1,Birth_TPHE_CD8_C18,TRUE
anova,NA,NA,NA,0.06763988253723621,NAS_1,Birth_TPHE_CD8_C18,NA
(Intercept),-2.0241182772749977,0.325640578325997,-6.215804822851849,5.106224233157448e-10,NAS_1,Birth_TPHE_CD8_C19,TRUE
MODVaginal,-0.9622956023516603,0.447499570258423,-2.150383299353677,0.03152490826158521,NAS_1,Birth_TPHE_CD8_C19,TRUE
voi,-0.8173972393340694,0.5746661390653544,-1.4223862931327336,0.15491414005212945,NAS_1,Birth_TPHE_CD8_C19,TRUE
anova,NA,NA,NA,0.04100307484239928,NAS_1,Birth_TPHE_CD8_C19,NA
