"","voi_names","vars","var_coeffs","var_pvals","adj_var_pvals"
"1",Birth_CD4_C8,voi,-0.606404176814057,0.0628454159049766,0.0775377909048447
"2",Birth_CD4_C17,voi,-1.15129571078086,0.00589224786422538,0.0775377909048447
"3",Birth_CD8_C7,voi,-0.73409400033174,0.0293072158934693,0.0775377909048447
"4",Birth_TPHE_C1,voi,-0.876564095053132,0.0394922590702176,0.0775377909048447
"5",Birth_TPHE_C3,voi,-0.560129296082945,0.0517642252173266,0.0775377909048447
"6",Birth_TPHE_C9,voi,-0.71227990746071,0.0558420305714046,0.0775377909048447
"7",Birth_TPHE_C10,voi,-1.31699839141439,0.0664609636327241,0.0775377909048447
"8",Birth_TPHE_C25,voi,0.573931600367766,0.0417043005907612,0.0775377909048447
"9",Discharge_TPHE_C1,voi,-1.19970922855888,0.0353350814070935,0.0775377909048447
"10",Discharge_TPHE_C3,voi,-0.599116109005947,0.0406146491960299,0.0775377909048447
"11",Discharge_TPHE_C9,voi,-0.705894579588754,0.0613593326680639,0.0775377909048447
"12",Discharge_TPHE_C10,voi,-1.92994492286792,0.0511664890876925,0.0775377909048447
"13",Discharge_TPHE_C20,voi,-0.525672558120987,0.074695898598557,0.0779576248226962
"14",OneYear_TPHE_C1,voi,-0.981168749442718,0.0779576248226962,0.0779576248226962
