"","var_names","model_pvals","adj_model_pvals"
"1",TPHE_IST_Birth,0.0435625124896385,0.401508821767733
"2",TPHE_IST_Disch,0.04080952225321,0.401508821767733
"3",TPHE_IST_1YR,0.326176246560431,0.725284085352043
"4",ICS_IST_Birth,0.730230123118137,0.889613725273749
"5",ICS_IST_Disch,0.169948116467253,0.614044341948498
"6",ICS_IST_1YR,0.739861838557499,0.889613725273749
"7",Birth_CD4_C1,0.674353002194208,0.889613725273749
"8",Birth_CD4_C2,0.837233691903666,0.908249049699066
"9",Birth_CD4_C3,0.178203380631983,0.614044341948498
"10",Birth_CD4_C4,0.453839591447871,0.793403026775775
"11",Birth_CD4_C5,0.0250269752536709,0.357738528626001
"12",Birth_CD4_C6,0.309266804166601,0.725284085352043
"13",Birth_CD4_C7,0.27420686813532,0.698220524944521
"14",Birth_CD4_C8,0.00933826635084091,0.292054427592694
"15",Birth_CD4_C9,0.107094787057856,0.556067152441361
"16",Birth_CD4_C10,0.710474830007854,0.889613725273749
"17",Birth_CD4_C11,0.123846410630986,0.571996470354862
"18",Birth_CD4_C12,0.930603748971955,0.966396200855492
"19",Birth_CD4_C13,0.430383178152201,0.78313484128173
"20",Birth_CD4_C14,0.107552082982485,0.556067152441361
"21",Birth_CD4_C15,0.0437251620863049,0.401508821767733
"22",Birth_CD4_C16,0.0216353848117619,0.330934452576434
"23",Birth_CD4_C17,0.143750705557787,0.573258091848275
"24",Birth_CD4_C18,0.780143252155053,0.899270591902589
"25",Birth_CD8_C1,0.632021517333441,0.877607021211578
"26",Birth_CD8_C2,0.0748709447562424,0.505378877104636
"27",Birth_CD8_C3,0.114901424370816,0.568070127731536
"28",Birth_CD8_C4,0.781534687288479,0.899270591902589
"29",Birth_CD8_C5,0.192158333848273,0.614400988488558
"30",Birth_CD8_C6,0.729889425844641,0.889613725273749
"31",Birth_CD8_C7,0.842713116325049,0.910130165631053
"32",Birth_CD8_C8,0.172577076723198,0.614044341948498
"33",Birth_CD8_C9,0.187513223347748,0.614044341948498
"34",Birth_CD8_C10,0.232454528382755,0.698220524944521
"35",Birth_CD8_C11,0.627533651757181,0.877607021211578
"36",Birth_CD8_C12,0.0784787930081818,0.515414775702383
"37",Discharge_CD4_C1,0.0641295972979544,0.486068534320923
"38",Discharge_CD4_C2,0.0169282709540837,0.327329883884527
"39",Discharge_CD4_C3,0.485575835450137,0.796774032495213
"40",Discharge_CD4_C4,0.581029685592297,0.855698264235928
"41",Discharge_CD4_C5,0.257549190737268,0.698220524944521
"42",Discharge_CD4_C6,0.48855691704439,0.796774032495213
"43",Discharge_CD4_C7,0.0462643909855823,0.401508821767733
"44",Discharge_CD4_C8,0.775573444022648,0.899270591902589
"45",Discharge_CD4_C9,0.35834112333289,0.725640774749103
"46",Discharge_CD4_C10,0.349492613409981,0.725640774749103
"47",Discharge_CD4_C11,0.696142559006645,0.889613725273749
"48",Discharge_CD4_C12,0.406065686924533,0.776960330099697
"49",Discharge_CD4_C13,0.134172011564721,0.571996470354862
"50",Discharge_CD4_C14,0.14862246825696,0.573258091848275
"51",Discharge_CD4_C15,0.469141150988174,0.796774032495213
"52",Discharge_CD4_C16,0.184808478444158,0.614044341948498
"53",Discharge_CD4_C17,0.0700098711984869,0.486068534320923
"54",Discharge_CD4_C18,0.848299591945494,0.912109738242279
"55",Discharge_CD8_C1,0.716623855111101,0.889613725273749
"56",Discharge_CD8_C2,0.0982028730197317,0.547991565838105
"57",Discharge_CD8_C3,0.729803917912396,0.889613725273749
"58",Discharge_CD8_C4,0.185454761945981,0.614044341948498
"59",Discharge_CD8_C5,0.434363951277513,0.78313484128173
"60",Discharge_CD8_C6,0.579150192754359,0.855698264235928
"61",Discharge_CD8_C7,0.348347784069323,0.725640774749103
"62",Discharge_CD8_C8,0.165227314890542,0.614044341948498
"63",Discharge_CD8_C9,0.431686099627016,0.78313484128173
"64",Discharge_CD8_C10,0.399043402135536,0.769583704118534
"65",Discharge_CD8_C11,0.0944191575057436,0.546282268426088
"66",Discharge_CD8_C12,0.322956622659417,0.725284085352043
"67",OneYear_CD4_C1,0.56473570548717,0.850921415204178
"68",OneYear_CD4_C2,0.792021933969527,0.899270591902589
"69",OneYear_CD4_C3,0.799351637246745,0.899270591902589
"70",OneYear_CD4_C4,0.435231111150551,0.78313484128173
"71",OneYear_CD4_C5,0.26225589937329,0.698220524944521
"72",OneYear_CD4_C6,0.736272051485835,0.889613725273749
"73",OneYear_CD4_C7,0.147811298469397,0.573258091848275
"74",OneYear_CD4_C8,0.732527119797552,0.889613725273749
"75",OneYear_CD4_C9,0.988739234018202,0.996929009698333
"76",OneYear_CD4_C10,0.485694631296132,0.796774032495213
"77",OneYear_CD4_C11,0.826581148685852,0.907495145788452
"78",OneYear_CD4_C12,0.971994301677884,0.988261988735255
"79",OneYear_CD4_C13,0.930482107784409,0.966396200855492
"80",OneYear_CD4_C14,0.48619153052013,0.796774032495213
"81",OneYear_CD4_C15,0.740826117328461,0.889613725273749
"82",OneYear_CD4_C16,0.765585687407904,0.899270591902589
"83",OneYear_CD4_C17,0.562018447437095,0.850921415204178
"84",OneYear_CD4_C18,0.4382976889478,0.78313484128173
"85",OneYear_CD8_C1,0.18951985862608,0.614044341948498
"86",OneYear_CD8_C2,0.129920841420372,0.571996470354862
"87",OneYear_CD8_C3,0.110842889201881,0.561142126584524
"88",OneYear_CD8_C4,0.241968028409032,0.698220524944521
"89",OneYear_CD8_C5,0.781003362550168,0.899270591902589
"90",OneYear_CD8_C6,0.27584020738549,0.698220524944521
