SampleID	PC1
E160WR7W.04	-0.316793907
E160WZ9N.04	-0.262737033
F160SLMG.04	0.280073756
F160SWYC.04	0.148456783
F160T94Z.04	-0.357029166
F160TQDS.04	0.094748773
F160TS8S.04	0.201035886
F160V3HQ.04	0.142608587
F160V7DL.04	0.104578636
F160V93D.04	0.359790751
F160WS8Z.04	-0.34609495
F160X0LP.04	-0.344505523
G160QC3W.04	0.275069614
G160QGRT.04	0.366981296
G160S0BF.04	-0.343948459
G160SG60.04	0.238918661
G160SS4S.04	0.071264117
G160SV8H.04	-0.269643612
G160T61C.04	0.304787961
G160TB8B.04	0.138409858
G160TFHH.04	-0.083874508
G160TFKC.04	0.357657507
G160TFPW.04	0.008356294
G160THL3.04	-0.077770569
G160TKLF.04	0.268098245
G160TQCC.04	-0.012909154
G160V103.04	0.238566623
G160W1Z0.04	-0.249085727
G160WGTY.04	-0.231039856
H160QX6M.04	0.128129576
H160SP4R.04	0.161808259
H160SST1.04	0.368912119
H160SVJK.04	0.144871147
H160SX2C.04	-0.233167861
H160T6QK.04	-0.082685542
H160V6QM.04	-0.336782514
H160VV1W.04	-0.113105204
H160W13J.04	0.303690657
H160W54T.04	-0.31978521
H160WMYX.04	-0.302141374
J160QF9J.04	0.3202556
J160S91X.04	0.272039359
J160SKFW.04	0.121607207
J160TJ71.04	-0.096346345
J160TZJC.04	-0.320545672
J160V6MX.04	0.364652462
J160V6PQ.04	-0.314446486
J160VFK7.04	-0.317638421
J160VLWM.04	0.247596316
J160W2X6.04	-0.350241838
J160WCKS.04	-0.324944605
K160SSTY.04	0.354463435
K160ST0X.04	-0.167903341
K160SYFS.04	-0.132054228
K160SYRX.04	0.129367078
K160T6C4.04	-0.03726556
K160THM9.04	-0.176999151
K160TZDR.04	0.156106822
K160VNDN.04	-0.288510314
K160WQXL.04	-0.35629996
K160WZ8R.04	-0.382853699
A160RPP4.04	0.268328557
A160T6VM.04	0.181476305
A160TBPR.04	0.219275536
A160TPLM.04	-0.303976852
A160TPZL.04	0.139367728
A160TX17.04	-0.032149417
A160V08G.04	-0.244696596
A160VTRJ.04	0.213875474
A160W5PK.04	-0.298811105
A160WDDL.04	-0.192692089
A160X25T.04	-0.188958788
A160XLJZ.04	0.13284346
B160R75V.04	-0.172346068
B160SNVH.04	-0.067993416
B160TMT1.04	-0.047868564
B160TP5W.04	-0.20761737
B160TTH3.04	-0.217175879
B160TX61.04	-0.166619329
B160TXHF.04	-0.233640009
B160TXJD.04	-0.085492688
B160V3GT.04	-0.267808763
B160V5WC.04	-0.350741712
B160VRX9.04	-0.257997162
B160VTBY.04	-0.331747223
B160VV9N.04	-0.204227268
B160X0KS.04	0.256838962
B160X3QY.04	0.265146436
B160XL9C.04	-0.20997004
C160SVFR.04	0.160086026
C160SYZ5.04	0.108652039
C160TSML.04	-0.367944491
C160TXGG.04	-0.332724362
C160V4F1.04	-0.29020712
C160VGC6.04	-0.275416857
C160VKKL.04	-0.319676879
C160VSLJ.04	-0.313428881
C160VVTL.04	-0.152306887
C160VWLP.04	0.188175974
C160WDRV.04	-0.315924785
C160WWPW.04	-0.271132751
C160XHHZ.04	-0.136463288
D160SZZ6.04	-0.127465924
D160TC75.04	-0.158701078
D160TF2T.04	-0.354680879
D160TMTY.04	-0.223850385
D160TNK5.04	-0.324714668
D160V8NZ.04	-0.097227197
D160V9PS.04	-0.347253657
D160V9RN.04	-0.285839788
D160VSD3.04	-0.106471418
D160VVSK.04	-0.139198718
D160W997.04	-0.003646823
D160WLTV.04	-0.278995031
E160RL7N.04	0.197882243
E160RYH7.04	0.256323214
E160T172.04	-0.071766887
E160T556.04	-0.073183811
E160T6J6.04	-0.239656354
E160T8CJ.04	-0.241190263
E160TC8Z.04	0.268129961
E160TRP1.04	-0.144196608
E160TYK3.04	-0.285667513
E160TZNW.04	-0.334842336
E160V7FH.04	-0.082195858
E160VFH5.04	-0.343423231
E160VJ0F.04	-0.195705294
E160VM7Y.04	-0.351847587
E160WDH8.04	-0.337762615
E160WLYG.04	-0.249953113
E160WS43.04	0.11715239
