IST,epoch,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n_obs,termwise_fdr
TPHE_4,ever,mode_deliveryVaginal Vertex,1.7683630873512481,0.643189823221072,2.749364221118033,0.005971099573542667,0.5077110338379471,3.029015140864549,144,0.22093068422107867
TPHE_4,late,mode_deliveryVaginal Vertex,1.7618779148564139,0.6432510727937707,2.739020561915612,0.006162251930960036,0.5011058121806233,3.0226500175322046,143,0.2218410695145613
TPHE_1,late,mode_deliveryVaginal Vertex,-1.0522287478162908,0.443809631462544,-2.370901109894221,0.01774477809517608,-1.9220956254828772,-0.18236187014970462,143,0.6210672333311629
TPHE_1,ever,mode_deliveryVaginal Vertex,-1.0050476620416484,0.43938555615011204,-2.2873934929674453,0.022172865761830435,-1.866243352095868,-0.14385197198742883,144,0.7538774359022348
ICS_7,ever,mode_deliveryVaginal Breech,3.0775266468051883,1.3852833763755292,2.2215863550295847,0.026311272852563003,0.3623712291091512,5.792682064501225,145,0.9735170955448311
TPHE_7,ever,mode_deliveryVaginal Vertex,0.9387437099660467,0.4354465311760951,2.15581855120214,0.0310978363277786,0.08526850886090032,1.7922189110711932,144,1
TPHE_4,ever,mode_deliveryVaginal Breech,3.1271812893769115,1.4692622966597362,2.1284023257701072,0.033303740484842075,0.24742718792382856,6.0069353908299945,144,1
TPHE_4,late,mode_deliveryVaginal Breech,3.1141784327103337,1.4705478712531057,2.1176994599003653,0.03420052863997711,0.23190460505424637,5.996452260366421,143,1
TPHE_6,early,mode_deliveryVaginal Vertex,-1.6307492978934133,0.7749559840552784,-2.104312156362535,0.03535122634317495,-3.149663026641759,-0.11183556914506765,104,1
TPHE_4,ever,GenderMale,-1.1764151159643015,0.5832489222942688,-2.0170034971290702,0.04369514836458619,-2.3195830036610685,-0.03324722826753468,144,1
TPHE_4,late,GenderMale,-1.1704550273617924,0.5837612219743211,-2.0050236009223634,0.044960524012067675,-2.314627022431462,-0.026283032292123032,143,1
TPHE_5,early,perinatal_milkTRUE,-2.984196984483258,1.4899628793026374,-2.002866665966861,0.045191601863722536,-5.904524227916427,-0.0638697410500888,104,1
TPHE_4,late,perinatal_milkTRUE,1.59465696622678,0.8167017365966995,1.9525573349114198,0.05087207087463518,-0.006078437502751166,3.195392369956311,143,1
TPHE_4,ever,perinatal_milkTRUE,1.5929116994815316,0.8168195384660553,1.9501390753616608,0.05115954498025082,-0.00805459591193669,3.193877994875,144,1
TPHE_5,ever,milk_months,0.12394976891493445,0.06373314262537767,1.9448243693788816,0.05179612006462549,-9.671906308057893e-4,0.2488667284606747,144,1
TPHE_1,late,GenderMale,0.842630155672346,0.4403675253711438,1.9134702427527401,0.05568787947189346,-0.02049019405509589,1.705750505399788,143,1
TPHE_7,early,milk_months,-0.16795271049764376,0.08819530882852074,-1.9043270297312112,0.05686760606718714,-0.3408155158015444,0.0049100948062568706,104,1
ICS_4,ever,GenderMale,-0.8184848301648804,0.46012187494223084,-1.7788435515430399,0.07526541479206104,-1.7203237050516527,0.083354044721892,145,1
ICS_7,early,mode_deliveryVaginal Breech,2.8974919929508682,1.636355457229937,1.770698401834901,0.07661086838831202,-0.3097647032198081,6.104748689121545,102,1
TPHE_5,early,milk_months,0.2843819336417305,0.16165832208091455,1.7591543075610379,0.07855130277811274,-0.032468377636862,0.6012322449203229,104,1
TPHE_1,ever,GenderMale,0.7593869325343304,0.4330854357387414,1.7534344724361275,0.079527458140462845,-0.08946052151360273,1.6082343865822635,144,1
TPHE_5,late,mode_deliveryVaginal Breech,1.969792568259572,1.1544644174846377,1.7062393075322166,0.08796353298523021,-0.2929576900103179,4.232542826529462,143,1
TPHE_1,late,milk_months,-0.11796153343253653,0.0694999318827246,-1.6972899143496554,0.08964186308054667,-0.25418139992267674,0.0182583330576037,143,1
TPHE_5,late,milk_months,0.10939271967368915,0.06534721010466589,1.6740228006440683,0.09412611837892168,-0.018687812131455997,0.2374732514788343,143,1
TPHE_1,ever,milk_months,-0.11511298694304202,0.06930498593122385,-1.6609625612979222,0.09672096609513062,-0.25095075936824074,0.020724785482156713,144,1
TPHE_5,early,GenderMale,2.0520682332512235,1.2951102666380327,1.5844737595804659,0.11308594844353856,-0.4863478893593207,4.590484355861768,104,1
ICS_5,late,milk_months,-0.12340473567146346,0.07832757717479141,-1.5754953762463557,0.11514214489295121,-0.2769267869340546,0.030117315591127708,143,1
TPHE_2,ever,mode_deliveryVaginal Vertex,0.6607360050469104,0.4263783157293968,1.549647298354286,0.1212261938905195,-0.1749654937827072,1.496437503876528,144,1
TPHE_5,ever,mode_deliveryVaginal Breech,1.7910716209839925,1.1624444226168484,1.5407804331427766,0.12337023317692361,-0.4873194473450304,4.069462689313015,144,1
ICS_4,late,GenderMale,-0.7100617985434661,0.46181682415852965,-1.5375399106285492,0.12416114943568278,-1.615222773894184,0.19509917680725197,143,1
ICS_7,late,GenderMale,-1.0430664832305405,0.6820738171325635,-1.529257474822284,0.12620062732598325,-2.379931164810365,0.2937981983492839,143,1
TPHE_2,late,mode_deliveryVaginal Vertex,0.6514021713175909,0.4262931443444783,1.5280615697427375,0.12649725191401937,-0.18413239159758654,1.4869367342327684,143,1
ICS_5,ever,milk_months,-0.10798575329412785,0.07105120860719626,-1.5198299284551617,0.12855372512080568,-0.2472461221642325,0.0312746155759768,145,1
TPHE_7,early,GenderMale,-0.8650617094109317,0.5708952511356417,-1.5152722109531047,0.1297034826787203,-1.9840164016367892,0.2538929828149258,104,1
