"","voi_names","vars","renamed_vars","var_coeffs","var_pvals","adj_var_pvals"
"1",ICS_IST_Birth,voiICS_2,ICS_6,-0.873960737249783,0.179033935739762,0.192295708757522
"2",ICS_IST_Birth,voiICS_3,ICS_4,-0.107852822581959,0.802427955810103,0.802427955810103
"3",ICS_IST_Birth,voiICS_4,ICS_2,-1.28913214182408,0.0105473225099548,0.0218480251991921
"4",ICS_IST_Birth,voiICS_6,ICS_1,-0.615055785452462,0.244297545223904,0.253022457553329
"5",Birth_CD4_C11,voi,voi,-0.324450161394424,0.052079594643117,0.0638399405860614
"6",OneYear_CD4_C5,voi,voi,-0.60786332996988,0.0429517312888097,0.0566181912443401
"7",Birth_TPHE_C2,voi,voi,-0.41212215276045,0.0365439556951345,0.0524149658062644
"8",Birth_TPHE_C8,voi,voi,0.356914201701531,0.00378001035244845,0.0147552790427138
"9",Birth_TPHE_C13,voi,voi,-0.408446870326284,0.00786069683146691,0.0175354006240416
"10",Birth_TPHE_C18,voi,voi,-0.371293963888942,0.0548242624902885,0.0638399405860614
"11",Birth_TPHE_C25,voi,voi,-0.423966545154449,0.00457922453049739,0.0147552790427138
"12",Birth_TPHE_C26,voi,voi,0.402402880238779,0.0279102350339475,0.0425998324202357
"13",Discharge_TPHE_C2,voi,voi,-0.437630497506687,0.00530595291519055,0.0153872634540526
"14",Discharge_TPHE_C4,voi,voi,0.453766054707018,0.000217660606949027,0.00631215760152177
"15",Discharge_TPHE_C8,voi,voi,0.425755381067925,0.000749116073833386,0.0072414553803894
"16",Discharge_TPHE_C13,voi,voi,-0.472134433694891,0.00374761756195729,0.0147552790427138
"17",Discharge_TPHE_C18,voi,voi,-0.355659363231212,0.0550344315397081,0.0638399405860614
"18",Discharge_TPHE_C25,voi,voi,-0.385739399888436,0.00595027560277841,0.0156870902255067
"19",OneYear_TPHE_C8,voi,voi,0.426614190540393,0.00049038396318098,0.00711056746612421
"20",OneYear_TPHE_C13,voi,voi,-0.382202693163555,0.0236214436595084,0.0380567703403191
"21",OneYear_TPHE_C14,voi,voi,-0.535195808664141,0.00748848871288016,0.0175354006240416
"22",OneYear_TPHE_C17,voi,voi,-0.481302143518095,0.0144335623801523,0.0261608318140261
"23",OneYear_TPHE_C18,voi,voi,-0.42156156578869,0.0379556648941915,0.0524149658062644
"24",OneYear_TPHE_C22,voi,voi,-0.478830431939018,0.00426197945389506,0.0147552790427138
"25",OneYear_TPHE_C25,voi,voi,-0.338234329374079,0.0140637992065242,0.0261608318140261
"26",OneYear_TPHE_C26,voi,voi,0.473205058629071,0.00234392548521777,0.0147552790427138
"27",Discharge_TPHE_CD8_C9,voi,voi,-0.317550033516364,0.062544464120595,0.0697611330575867
"28",Discharge_TPHE_CD8_C15,voi,voi,-0.441432191646865,0.0154620832741702,0.0263764949971139
"29",OneYear_TPHE_CD8_C15,voi,voi,-0.527488686981541,0.0025705280011297,0.0147552790427138
