"","var_names","model_pvals","adj_model_pvals"
"1",TPHE_IST_Birth,0.940494054025914,0.995781138306375
"2",TPHE_IST_Disch,0.234669274205502,0.744554384646609
"3",TPHE_IST_1YR,0.0369101019598509,0.617898555639407
"4",ICS_IST_Birth,0.841594547600358,0.995781138306375
"5",ICS_IST_Disch,0.193479853947093,0.744554384646609
"6",ICS_IST_1YR,0.657263972269789,0.969438270005158
"7",Birth_CD4_C1,0.787118943279236,0.995781138306375
"8",Birth_CD4_C2,0.354044310101911,0.807097234232877
"9",Birth_CD4_C3,0.517494594225092,0.901900604815836
"10",Birth_CD4_C4,0.138404316048615,0.744554384646609
"11",Birth_CD4_C5,0.10634608572222,0.744554384646609
"12",Birth_CD4_C6,0.262656686343129,0.744554384646609
"13",Birth_CD4_C7,0.158411762198936,0.744554384646609
"14",Birth_CD4_C8,0.00597358281014014,0.376705441724769
"15",Birth_CD4_C9,0.135929540866989,0.744554384646609
"16",Birth_CD4_C10,0.609659553851905,0.937640959405145
"17",Birth_CD4_C11,0.259575218401485,0.744554384646609
"18",Birth_CD4_C12,0.0513505002941804,0.656745872183465
"19",Birth_CD4_C13,0.387417194022919,0.82364034101116
"20",Birth_CD4_C14,0.00323647479124845,0.376705441724769
"21",Birth_CD4_C15,0.656097246221936,0.969438270005158
"22",Birth_CD4_C16,0.339329014053578,0.785304289666851
"23",Birth_CD4_C17,0.188293450002082,0.744554384646609
"24",Birth_CD4_C18,0.158895057822194,0.744554384646609
"25",Birth_CD8_C1,0.0894175636853269,0.744554384646609
"26",Birth_CD8_C2,0.53585768368875,0.901900604815836
"27",Birth_CD8_C3,0.102570052596922,0.744554384646609
"28",Birth_CD8_C4,0.0628707355781674,0.69443585206794
"29",Birth_CD8_C5,0.379171855655836,0.822667508253287
"30",Birth_CD8_C6,0.228983260659481,0.744554384646609
"31",Birth_CD8_C7,0.234958242774201,0.744554384646609
"32",Birth_CD8_C8,0.795700811043849,0.995781138306375
"33",Birth_CD8_C9,0.839531325154502,0.995781138306375
"34",Birth_CD8_C10,0.270674382635457,0.744554384646609
"35",Birth_CD8_C11,0.134017004178632,0.744554384646609
"36",Birth_CD8_C12,0.395930735976956,0.829406627951726
"37",Discharge_CD4_C1,0.362390640928207,0.807097234232877
"38",Discharge_CD4_C2,0.689162757136923,0.969438270005158
"39",Discharge_CD4_C3,0.230414216127567,0.744554384646609
"40",Discharge_CD4_C4,0.972362949030594,0.995781138306375
"41",Discharge_CD4_C5,0.679091658898094,0.969438270005158
"42",Discharge_CD4_C6,0.507885901601124,0.901900604815836
"43",Discharge_CD4_C7,0.871579676884348,0.995781138306375
"44",Discharge_CD4_C8,0.240591905952905,0.744554384646609
"45",Discharge_CD4_C9,0.0218504949960696,0.565969160068117
"46",Discharge_CD4_C10,0.135581338542212,0.744554384646609
"47",Discharge_CD4_C11,0.299899680520133,0.744554384646609
"48",Discharge_CD4_C12,0.0139982382860473,0.565969160068117
"49",Discharge_CD4_C13,0.71984387297582,0.981174645982864
"50",Discharge_CD4_C14,0.0351447963310233,0.617898555639407
"51",Discharge_CD4_C15,0.920654665596384,0.995781138306375
"52",Discharge_CD4_C16,0.282669470565256,0.744554384646609
"53",Discharge_CD4_C17,0.281825861292878,0.744554384646609
"54",Discharge_CD4_C18,0.068304709950185,0.694669789422944
"55",Discharge_CD8_C1,0.883700241510724,0.995781138306375
"56",Discharge_CD8_C2,0.145700213226248,0.744554384646609
"57",Discharge_CD8_C3,0.417222347446906,0.844875253579984
"58",Discharge_CD8_C4,0.0411496601715938,0.617898555639407
"59",Discharge_CD8_C5,0.690751860731496,0.969438270005158
"60",Discharge_CD8_C6,0.0348527183847692,0.617898555639407
"61",Discharge_CD8_C7,0.0743268087448418,0.694669789422944
"62",Discharge_CD8_C8,0.717280866764966,0.981174645982864
"63",Discharge_CD8_C9,0.511191949361072,0.901900604815836
"64",Discharge_CD8_C10,0.484729921270829,0.901900604815836
"65",Discharge_CD8_C11,0.261249089554177,0.744554384646609
"66",Discharge_CD8_C12,0.260189656403634,0.744554384646609
"67",OneYear_CD4_C1,0.330454831280916,0.779616737876335
"68",OneYear_CD4_C2,0.0723865292522927,0.694669789422944
"69",OneYear_CD4_C3,0.207864996422428,0.744554384646609
"70",OneYear_CD4_C4,0.982095320789555,0.995781138306375
"71",OneYear_CD4_C5,0.427544079685546,0.8450185083038
"72",OneYear_CD4_C6,0.00851129421561989,0.413648898879126
"73",OneYear_CD4_C7,0.389788638750138,0.82364034101116
"74",OneYear_CD4_C8,0.801694901206217,0.995781138306375
"75",OneYear_CD4_C9,0.0559499657302125,0.679792083622082
"76",OneYear_CD4_C10,0.664773545941978,0.969438270005158
"77",OneYear_CD4_C11,0.252432729021043,0.744554384646609
"78",OneYear_CD4_C12,0.136300506302765,0.744554384646609
"79",OneYear_CD4_C13,0.444833733509961,0.851138560967877
"80",OneYear_CD4_C14,0.439129510744233,0.846892627863879
"81",OneYear_CD4_C15,0.765677833765449,0.995781138306375
"82",OneYear_CD4_C16,0.257702351534987,0.744554384646609
"83",OneYear_CD4_C17,0.698447221354967,0.969843855938612
"84",OneYear_CD4_C18,0.117774295974815,0.744554384646609
"85",OneYear_CD8_C1,0.263256367192941,0.744554384646609
"86",OneYear_CD8_C2,0.722758278316595,0.981174645982864
"87",OneYear_CD8_C3,0.867867121859449,0.995781138306375
"88",OneYear_CD8_C4,0.58077881132683,0.918652516020275
"89",OneYear_CD8_C5,0.560187004933364,0.918652516020275
"90",OneYear_CD8_C6,0.21708863283048,0.744554384646609
