"","voi_names","vars","renamed_vars","var_coeffs","var_pvals","adj_var_pvals"
"1",ICS_IST_Disch,voiICS_2,ICS_6,0.51755292389029,0.409492057039731,0.409492057039731
"2",ICS_IST_Disch,voiICS_5,ICS_3,1.34695773967123,0.0269308190879231,0.0465168693336853
"3",ICS_IST_Disch,voiICS_6,ICS_1,0.727861707967297,0.231642121506948,0.244511128257334
"4",Discharge_CD4_C2,voi,voi,-0.392860687396243,0.0220976936755739,0.0465168693336853
"5",Discharge_CD4_C6,voi,voi,-0.54112102438512,0.00125341495516697,0.0238148841481724
"6",Discharge_CD4_C10,voi,voi,-0.410154992590354,0.0411433130518503,0.0521148631990103
"7",Discharge_CD4_C15,voi,voi,-0.430889681770359,0.035871221231246,0.0504571339262641
"8",Discharge_CD4_C17,voi,voi,-0.299423450431684,0.0641987559524785,0.0717515507704172
"9",Discharge_CD8_C9,voi,voi,-0.397752598721775,0.0200331534225034,0.0465168693336853
"10",Discharge_CD8_C10,voi,voi,-0.485228913754593,0.024038540957264,0.0465168693336853
"11",Discharge_CD8_C12,voi,voi,0.424275464061672,0.0115769277113095,0.0465168693336853
"12",Discharge_TPHE_C6,voi,voi,-0.502447231596368,0.0207394424724458,0.0465168693336853
"13",Discharge_TPHE_C23,voi,voi,0.26907738680255,0.0268848045509638,0.0465168693336853
"14",OneYear_TPHE_C13,voi,voi,-0.326924983715738,0.0371789407877736,0.0504571339262641
"15",Birth_TPHE_CD8_C9,voi,voi,0.339202583969889,0.0160916982954643,0.0465168693336853
"16",Discharge_TPHE_CD8_C2,voi,voi,0.303923955586122,0.0336089256338318,0.0504571339262641
"17",Discharge_TPHE_CD8_C20,voi,voi,-0.288518495572468,0.060523603058951,0.0717515507704172
"18",OneYear_TPHE_CD8_C3,voi,voi,0.322951286232368,0.0197001970610894,0.0465168693336853
"19",OneYear_TPHE_CD8_C8,voi,voi,0.321871648188956,0.00681660424532955,0.0465168693336853
