"","voi_names","vars","renamed_vars","var_coeffs","var_pvals","adj_var_pvals"
"1",TPHE_IST_1YR,voiTPHE_7,TPHE_6,-0.896698801570381,0.0287034698331689,0.0441427220810179
"2",Birth_CD4_C8,voi,voi,-0.849001471217896,0.0250804886928875,0.0441427220810179
"3",Birth_CD4_C14,voi,voi,0.570270414670881,0.00290888798042391,0.0441427220810179
"4",Discharge_CD4_C9,voi,voi,-0.375765994128775,0.0259102166657092,0.0441427220810179
"5",Discharge_CD4_C12,voi,voi,-0.450323746973914,0.0252167237492094,0.0441427220810179
"6",Discharge_CD4_C14,voi,voi,0.344721278049206,0.0393424534200452,0.0472109441040542
"7",Discharge_CD8_C4,voi,voi,-0.409725475866602,0.0754229795198064,0.0760940468374348
"8",Discharge_CD8_C6,voi,voi,-0.503719329593774,0.0560901633883001,0.0631014338118376
"9",OneYear_CD4_C6,voi,voi,0.425370501202303,0.00845107868766264,0.0441427220810179
"10",Birth_TPHE_C22,voi,voi,-0.60382843746622,0.0369287699444839,0.0472109441040542
"11",Discharge_TPHE_C6,voi,voi,-0.73497005311787,0.014745819797852,0.0441427220810179
"12",Discharge_TPHE_C11,voi,voi,-0.889662089973707,0.0318808548362907,0.0441427220810179
"13",Discharge_TPHE_C17,voi,voi,0.51103435693318,0.0124015733039085,0.0441427220810179
"14",OneYear_TPHE_C22,voi,voi,-0.416960672950371,0.0288787380984923,0.0441427220810179
"15",Discharge_TPHE_CD8_C6,voi,voi,-0.449859440790906,0.0760940468374348,0.0760940468374348
"16",OneYear_TPHE_CD8_C1,voi,voi,0.39043289146869,0.0308590305338875,0.0441427220810179
"17",OneYear_TPHE_CD8_C13,voi,voi,0.327920469165341,0.0318120826733431,0.0441427220810179
"18",OneYear_TPHE_CD8_C15,voi,voi,-0.435494289067202,0.0310781917969759,0.0441427220810179
